Source,Target,Transaction_Price,Publication_Time,Type
o5556c1818c016,任务编号：386134,100.0,2015-10-20,发布
wu0793parker,任务编号：388152,180.0,2015-10-29,发布
mf189****8611,任务编号：363664,200.0,2015-07-02,发布
lynnxyer,任务编号：397970,400.0,2015-12-22,发布
donnapao,任务编号：393989,200.0,2015-11-27,发布
mf186****5526,任务编号：388106,800.0,2015-10-28,发布
hjy25****8,任务编号：385531,100.0,2015-10-16,发布
精诚飞越,任务编号：385207,350.0,2015-10-15,发布
龚先生6691,任务编号：384123,800.0,2015-10-10,发布
罗宾,任务编号：383657,100.0,2015-10-08,发布
mf137****2040,任务编号：379654,600.0,2015-09-15,发布
adiy289914,任务编号：374970,100.0,2015-08-24,发布
mf136****1114,任务编号：362204,500.0,2015-06-25,发布
o5555cea16a81d,任务编号：357679,300.0,2015-06-04,发布
o5555cea16a81d,任务编号：357674,300.0,2015-06-04,发布
mf137****6956,任务编号：347411,300.0,2015-04-21,发布
w3liu,任务编号：343875,500.0,2015-04-06,发布
mf137****8266,任务编号：339995,300.0,2015-03-23,发布
Jerry贾利,任务编号：337555,300.0,2015-03-14,发布
BCIzhongguo,任务编号：335049,360.0,2015-03-03,发布
yancunshan,任务编号：335295,600.0,2015-03-04,发布
cqfuge,任务编号：333896,400.0,2015-02-24,发布
博华电力,任务编号：326126,360.0,2015-01-06,发布
jeffer,任务编号：326198,1000.0,2015-01-06,发布
o55ad92f41943d,任务编号：399276,200.0,2015-12-30,发布
o55e980764f688,任务编号：398487,3000.0,2015-12-24,发布
o567ba6d1ccb1e,任务编号：398449,2500.0,2015-12-24,发布
sanjiayiliao,任务编号：398440,3000.0,2015-12-24,发布
西米科技,任务编号：398319,2000.0,2015-12-23,发布
yujw,任务编号：398128,4000.0,2015-12-22,发布
mf158****2100,任务编号：397775,10000.0,2015-12-21,发布
西米科技,任务编号：397548,1000.0,2015-12-19,发布
mf135****5339,任务编号：397395,4500.0,2015-12-17,发布
Mr155****7010,任务编号：397156,8000.0,2015-12-16,发布
mf151****7303,任务编号：397099,5000.0,2015-12-16,发布
南京大洋子,任务编号：396971,4500.0,2015-12-15,发布
papapa777,任务编号：396796,100.0,2015-12-14,发布
mf159****0525,任务编号：396710,1000.0,2015-12-14,发布
leenk,任务编号：396575,5000.0,2015-12-13,发布
mf185****1199,任务编号：395975,20000.0,2015-12-09,发布
mf158****8633,任务编号：395917,1000.0,2015-12-09,发布
mf186****0333,任务编号：395716,400.0,2015-12-08,发布
盛晓科技,任务编号：395699,2000.0,2015-12-08,发布
厦门互联欣网络,任务编号：395196,12000.0,2015-12-04,发布
骄傲的门牙,任务编号：395101,8500.0,2015-12-04,发布
蓦然失措,任务编号：395067,9200.0,2015-12-03,发布
风中凌乱,任务编号：395071,4200.0,2015-12-03,发布
mf186****1341,任务编号：394806,4500.0,2015-12-02,发布
mf139****9002,任务编号：394404,3000.0,2015-11-30,发布
悟本设计,任务编号：393612,1000.0,2015-11-26,发布
狄拉克jsdf,任务编号：393062,800.0,2015-11-23,发布
M1392****695,任务编号：393021,8000.0,2015-11-23,发布
o564b12c32a02b,任务编号：392374,600.0,2015-11-20,发布
mf153****1416,任务编号：392059,2000.0,2015-11-18,发布
mf186****3270,任务编号：391985,1000.0,2015-11-18,发布
mf152****6000,任务编号：391548,3888.0,2015-11-16,发布
ljd1128,任务编号：391115,2000.0,2015-11-13,发布
mf138****5582,任务编号：390825,100.0,2015-11-12,发布
mf186****3635,任务编号：390686,5000.0,2015-11-11,发布
o564015db7863e,任务编号：390703,1000.0,2015-11-11,发布
lyq027,任务编号：390639,110.0,2015-11-11,发布
o564015db7863e,任务编号：390592,4800.0,2015-11-11,发布
弘安创励,任务编号：390569,25000.0,2015-11-11,发布
全球电竞网,任务编号：390243,200.0,2015-11-09,发布
mf180****0911,任务编号：390187,10000.0,2015-11-09,发布
mf138****1660,任务编号：389521,2300.0,2015-11-05,发布
mf159****3029,任务编号：389378,8000.0,2015-11-04,发布
mf135****2817,任务编号：389288,500.0,2015-11-03,发布
mf153****6868,任务编号：389081,180.0,2015-11-02,发布
lx0701,任务编号：388766,500.0,2015-10-31,发布
精诚飞越,任务编号：389048,1000.0,2015-11-02,发布
mf186****0333,任务编号：388493,100.0,2015-10-30,发布
stereorig,任务编号：388478,150.0,2015-10-30,发布
mf137****1991,任务编号：388416,5000.0,2015-10-30,发布
mf134****6973,任务编号：388103,1500.0,2015-10-28,发布
mf185****1848,任务编号：388110,1000.0,2015-10-28,发布
o56308e18e2199,任务编号：388080,5000.0,2015-10-28,发布
讯微,任务编号：387888,1000.0,2015-10-27,发布
o562dec20287f1,任务编号：387518,300.0,2015-10-26,发布
集团事业部,任务编号：387502,160.0,2015-10-26,发布
mf186****9595,任务编号：387230,5000.0,2015-10-25,发布
新传,任务编号：386939,5000.0,2015-10-23,发布
杭州络达,任务编号：386884,30000.0,2015-10-23,发布
mf189****8211,任务编号：386746,8000.0,2015-10-22,发布
mf135****4433,任务编号：386260,4000.0,2015-10-20,发布
napoleonk,任务编号：386235,2500.0,2015-10-20,发布
mf189****2059,任务编号：385957,18000.0,2015-10-19,发布
robert408,任务编号：385747,1000.0,2015-10-18,发布
十年雨落,任务编号：385649,6000.0,2015-10-17,发布
精诚飞越,任务编号：385552,200.0,2015-10-17,发布
aho599,任务编号：384580,600.0,2015-10-13,发布
o5619****87321,任务编号：384171,500.0,2015-10-11,发布
o5618d384ccdf0,任务编号：384112,1.0,2015-10-10,发布
o56161bb8a3bcf,任务编号：383624,3800.0,2015-10-08,发布
gannimei123,任务编号：383379,15000.0,2015-10-07,发布
老猫52121,任务编号：383332,200.0,2015-10-06,发布
luofei,任务编号：383323,1000.0,2015-10-06,发布
xu_cq,任务编号：382905,800.0,2015-10-02,发布
枇杷,任务编号：382830,1000.0,2015-10-01,发布
