标题,标题链接,查看数,参与数,需求价格,状态,任务类型,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9,能力标签,交易价格1,需求价格备选,参与交稿,字段8_link,字段9_link,字段3,字段4,字段5,字段7,字段8,字段9,字段10,字段11,字段12,字段13,字段14,字段15,字段16,字段17,字段18,字段19,交易价格备选,设计师1,设计师2,设计师3,设计师4,设计师5,设计师6,设计师7,设计师8,设计师9,设计师10,字段6,需求者,赏金总额1,交易总�����额,年份
【数据采集】数据采集,https://task.epwk.com/1052803/,501人,3人,1000元以内,圆满完成,招标,lv2271,主要采集影片电影、电视剧的海报、剧照等图片。,2023-08-07,2023.08.30,任务编号：1052803,600.0,"7天,7天,10天","福建省-厦门市,江西省-赣州市-章贡区,湖北省-武汉市-武昌区",厦门成沃软件,https://shop.epwk.com/v0n1x6zv457y/,厦门成沃软件,出售服务,https://shop.epwk.com/v0n1x6zv457y/chushou/,工作室,四品,40分,,,厦门成沃软件,,"网站开发,网站建设,网站系统建设","￥5000
            /件","微商城,微信公众号,微信开发,微信定制开发","￥5000
            /件",微信三级分销系统开发,"￥8000
            /件","企业网站制作,网站开发,企业建站,公司建站,网站建设","￥5000
            /件","IOS/Adrorid移动应用软件开发,APP开发,软件开发,系统开发","￥10000
            /件",源生app开发综合商城app生鲜配送app移动应用开发android应用开发,"￥50000
            /起",自媒体运营，百度推广竞价，百度百科、地图、知道、网站关键字优化、企业负面删除,"￥3000
            /月",微信微博代运营，微信公众号运营，新媒体运营，微信微博代理运营,"￥5000
            /月",logo设计，卡通形象设计，名片设计，网页设计,"￥3000
            /款",数据采集,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【图像识别】安卓平台下的图型识别,https://task.epwk.com/1045791/,827人,1人,5000-10000元,圆满完成,招标,lxg1658,平台：安卓11CPU RK3566要求：将高拍仪产生的图片矫正角度。识别出手工画框的部分，将画框部分扣图出来重新排列后打印。附件内有详细流程图,2023-06-17,2024.08.23,任务编号：1045791,5000.0,30天,广东省-广州市-海珠区,森威s.well,https://shop.epwk.com/81n41g8gonp6/,森威s.well,出售服务,https://shop.epwk.com/81n41g8gonp6/chushou/,工作室,六品,65分,总 2 次中标，交易总金额,￥5600.00,森威s.well,,数字孪生系统,价格面议,系统定制开发,价格面议,充换电服务治理,价格面议,,,,,,,,,,,,,图像识别,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【数据采集】批量采集百度文库里的文档,https://task.epwk.com/1029121/,887人,1人,1000元以内,圆满完成,招标,o6173****0b6d8,不用下载百度文库文档的源文件，只需批量下载pdf格式的文件即可（百度文库预览文件时好像会生成pdf文件）。,2023-02-12,2023.02.16,任务编号：1029121,900.0,7天,广东省-江门市-蓬江区,创梦科技工作室,https://shop.epwk.com/j7n38qowo5e1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,数据采集,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【图像识别】图像识别软件开发二期,https://task.epwk.com/1066347/,273人,1人,¥25000,圆满完成,雇佣,水上景色,图像识别软件开发二期，已和威客谈好合作。,2023-12-08,2023.12.08,任务编号：1066347,25000.0,1天,江苏省-南京市,唐图网络科技有限公司,https://shop.epwk.com/zqdpll0z9n1v/,唐图网络科技有限公司,出售服务,https://shop.epwk.com/zqdpll0z9n1v/chushou/,企业,一品,55分,,,唐图网络科技有限公司,,智能家居类APP定制开发,"￥158000
            /次",WIFI类APP定制开发/APP开发定制,价格面议,检测工具类APP定制开发,价格面议,通讯信息类APP定制开发,"￥18000
            /次",蓝牙控制类APP定制开发,价格面议,出行类APP定制开发,"￥68000
            /次",WIFI类APP定制开发,价格面议,体育运动类APP定制开发/APP定制,价格面议,,,图像识别,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【图像识别】图像识别软件开发一期,https://task.epwk.com/1066346/,136人,1人,¥15000,圆满完成,雇佣,水上景色,图像识别软件开发一期，已和威客谈好合作。,2023-12-08,2023.12.08,任务编号：1066346,15000.0,1天,江苏省-南京市,唐图网络科技有限公司,https://shop.epwk.com/zqdpll0z9n1v/,唐图网络科技有限公司,出售服务,https://shop.epwk.com/zqdpll0z9n1v/chushou/,企业,一品,55分,,,唐图网络科技有限公司,,智能家居类APP定制开发,"￥158000
            /次",WIFI类APP定制开发/APP开发定制,价格面议,检测工具类APP定制开发,价格面议,通讯信息类APP定制开发,"￥18000
            /次",蓝牙控制类APP定制开发,价格面议,出行类APP定制开发,"￥68000
            /次",WIFI类APP定制开发,价格面议,体育运动类APP定制开发/APP定制,价格面议,,,图像识别,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【图像识别】使用华为Atlas边缘计算平台首付款,https://task.epwk.com/1066288/,98人,1人,¥15000,圆满完成,雇佣,vitorru,称呼:杨先生地区:广东深圳需求:项目拟采用华为Atlas DK200系列进行人体行为的识别，具体包括抽烟、打电话、打架、跌倒等。主要采用的是骨骼提取后使用人体骨架进行分类识别，计算需求一路视频即可，项目提供硬件。,2023-12-07,2023.12.07,任务编号：1066288,15000.0,30天,北京市-北京市,灵耘AI,https://shop.epwk.com/zqdpl2kxpn1v/,灵耘AI,出售服务,https://shop.epwk.com/zqdpl2kxpn1v/chushou/,企业,五品,64分,总 1 次中标，交易总金额,￥1.43万,灵耘AI,,业务系统开发,"￥10000
            /套",算法应用开发,"￥10000
            /套",,,,,,,,,,,,,,,图像识别,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【数据存储】对长截图的图片进行切片分类存储,https://task.epwk.com/1061773/,274人,1人,¥12000,圆满完成,雇佣,丞相xseQp,我们对多多买菜上面的产品进行长截图，然后把图片进行切片处理，然后存储做出数据库，方便查询,2023-10-26,2023.11.10,任务编号：1061773,12000.0,10天,广东省-广州市,广州召隆信息技术有限公司,https://shop.epwk.com/p05qjwogydev/,广州召隆信息技术有限公司,出售服务,https://shop.epwk.com/p05qjwogydev/chushou/,企业,一品,60分,总 13 次中标，交易总金额,￥17.14万,广州召隆信息技术有限公司,,可视化移动端模板,"￥30000
            /套",自动化表单系统,"￥30000
            /起",人力派遣管理系统,"￥30000
            /起",线上商城系统,"￥30000
            /套",年度KPI考核，党建双评签字系统,￥6666,OA管理系统,"￥6666
            /套",EDA视频学习平台,"￥6800
            /起",全自动洗车系统,"￥9800
            /套",城管查违控违管理平台,"￥10000
            /起",数据存储,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【多媒体AI】AI智能纠错,https://task.epwk.com/1050131/,320人,1人,¥27200,圆满完成,雇佣,k9388****15,"项目:AI智能纠错称呼:王女士地区:苏州市,苏州市需求:https://haokan.baidu.com/v?pd=wisenatural&vid=6920231395468669160  根据这个链接来做功能需求，需要做过前端 OCR+RPA +AI智能纠错的服务商联系，需要有源码完成时间:越快越好预算:具体详聊备注：微信手机同号",2023-07-19,2023.07.20,任务编号：1050131,27200.0,62天,湖南省-湘潭市,湖南众智互联,https://shop.epwk.com/81n41g8mynp6/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,多媒体AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【人脸识别】百度人脸识别SDK识别程序,https://task.epwk.com/1038608/,537人,1人,¥800,圆满完成,雇佣,lxg1658,利用百度人脸识别SDK(或其他SDK)开发人脸识别程序，只在后台运行可以不用界面。我提供数据库。后附流程图,2023-04-27,2023.05.15,任务编号：1038608,800.0,1天,北京市-北京市-昌平区,和若科技,https://shop.epwk.com/0jnekv2lynv3/,和若科技,出售服务,https://shop.epwk.com/0jnekv2lynv3/chushou/,企业,三品,42分,,,和若科技,,手机/PC等多端APP软件开发,"￥2000
            /日",后台服务开发,"￥2000
            /日",小程序开发服务,"￥1500
            /日",VR游戏，课件等开发,"￥2000
            /日",,,,,,,,,,,人脸识别,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
【其他人工智能】App脚本自动化,https://task.epwk.com/1037042/,337人,1人,¥1300,圆满完成,雇佣,威赞1IE8P,详情加微信联系。,2023-04-15,2023.05.15,任务编号：1037042,1000.0,5天,福建省-泉州市,小小菜网络,https://shop.epwk.com/9w56e1l96dv1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他人工智能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
