标题,标题链接,查看数,参与数,需求价格,状态,任务类型,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9,能力标签,交易价格1,需求价格备选,参与交稿,字段8_link,字段9_link,字段3,字段4,字段5,字段7,字段8,字段9,字段10,字段11,字段12,字段13,字段14,字段15,字段16,字段17,字段18,字段19,交易价格备选,设计师1,设计师2,设计师3,设计师4,设计师5,设计师6,设计师7,设计师8,设计师9,设计师10,字段6,需求者,赏金总额1,交易总�����额,年份
【图像识别】买代码：连接海康摄像头，跌倒检测程序（java）,https://task.epwk.com/1022903/,1888人,1人,1000-3000元,圆满完成,招标,o5d2c3868e8db9,请做过海康摄像头跌倒检测或者类似功能的人联系我，要求有可用的代码。功能要求：连接海康摄像头，如果出现有人跌倒，可以报警到另外一个服务器（提供http接口）。,2022-11-24,2025.04.23,任务编号：1022903,2500.0,3天,海南省-三亚市-市辖区,见日智能科技,https://shop.epwk.com/81n41qvzonp6/,见日智能科技,出售服务,https://shop.epwk.com/81n41qvzonp6/chushou/,企业,六品,51分,,,见日智能科技,,,,,,,,,,,,,,,,,,,,图像识别,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
【图像识别】动态二维码改成静态,https://task.epwk.com/1020359/,911人,2人,5000-10000元,圆满完成,招标,o6361d5a96b4a4,机器上的动态二维码15秒更新，需求：在手机上能同时显示动态二维码或把动态破解成静态，随时随地可以扫码识别,2022-11-02,2022.11.13,任务编号：1020359,6500.0,"28天,5天","湖南省-长沙市-雨花区,江苏省-苏州市",长沙市白熊科技有限公司,https://shop.epwk.com/4rn8q7p7wngm/,长沙市白熊科技有限公司,出售服务,https://shop.epwk.com/4rn8q7p7wngm/chushou/,企业,四品,41分,,,长沙市白熊科技有限公司,,电商网站定制开发,"￥2000
            /起",响应式网站定制开发,"￥2000
            /起",H5定制开发,"￥2000
            /起",APP定制软件开发,"￥2000
            /起",企业官网定制开发,"￥2000
            /起",小程序类开发,"￥2000
            /起",,,,,,,图像识别,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
【图像识别】图片识别软件开发,https://task.epwk.com/1005092/,859人,1人,3000-5000元,圆满完成,招标,鲸创客0xam5,识别图像上特定区域数字，并生成CSV或者EXCEL文件,2022-07-12,2022.07.15,任务编号：1005092,4000.0,2天,广东省-广州市,广州召隆信息技术有限公司,https://shop.epwk.com/p05qjwogydev/,广州召隆信息技术有限公司,出售服务,https://shop.epwk.com/p05qjwogydev/chushou/,企业,一品,60分,总 13 次中标，交易总金额,￥17.14万,广州召隆信息技术有限公司,,可视化移动端模板,"￥30000
            /套",自动化表单系统,"￥30000
            /起",人力派遣管理系统,"￥30000
            /起",线上商城系统,"￥30000
            /套",年度KPI考核，党建双评签字系统,￥6666,OA管理系统,"￥6666
            /套",EDA视频学习平台,"￥6800
            /起",全自动洗车系统,"￥9800
            /套",城管查违控违管理平台,"￥10000
            /起",图像识别,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
【数据采集】知识产权相关新闻网站采集,https://task.epwk.com/1025301/,612人,1人,¥2500,圆满完成,雇佣,o592ba50e8a87a,知识产权相关公开新闻网站三个模块的采集按照要求解析入库,2022-12-18,2023.02.12,任务编号：1025301,2500.0,7天,江苏省-无锡市-惠山区,空然工作室,https://shop.epwk.com/p05qj84qrdev/,空然工作室,出售服务,https://shop.epwk.com/p05qj84qrdev/chushou/,工作室,四品,57分,,,空然工作室,,,,,,,,,,,,,,,,,,,,数据采集,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
【数据采集】爬取上市公司年报,https://task.epwk.com/1022320/,1650人,1人,¥200,圆满完成,雇佣,铸威AfdHR,需要跟另一人合作完成。完成之后需要接受30分钟左右的访谈,2022-11-19,2022.11.26,任务编号：1022320,200.0,1天,浙江省-杭州市,o63025e334f946,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,数据采集,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
【数据采集】手动收集医院网址,https://task.epwk.com/1021210/,686人,2人,¥200,圆满完成,雇佣,威友GFBSd,给定医院名称，到春雨医生网站找到对应医院网址即可，0.3元/条,2022-11-09,2022.11.11,任务编号：1021210,200.0,"7天,1天","广东省-江门市-蓬江区,山西省-太原市-晋源区",创梦科技工作室,https://shop.epwk.com/j7n38qowo5e1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,数据采集,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
【数据采集】爬取微博信息,https://task.epwk.com/1020642/,1688人,1人,¥300,圆满完成,雇佣,铸威AfdHR,爬取上市公司高管的个人微博信息，关注列表，发布的内容和评论等等,2022-11-04,2022.11.11,任务编号：1020642,300.0,1天,湖北省-武汉市,武汉动阅科技有限公司,https://shop.epwk.com/7lngqgkq3dmr/,武汉动阅科技有限公司,出售服务,https://shop.epwk.com/7lngqgkq3dmr/chushou/,企业,六品,44分,,,武汉动阅科技有限公司,,服务 - 网站建设,价格面议,服务 - 系统开发,价格面议,服务 - 小程序开发,价格面议,服务 - APP开发,价格面议,服务 - 定制开发,价格面议,服务 - 逆向工程,价格面议,,,,,,,数据采集,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
【数据采集】生鲜电商平台数据采集,https://task.epwk.com/1019903/,1545人,1人,¥300,圆满完成,雇佣,E企航7MWPr,想找一个熟悉数据采集的朋友，能够帮忙采集生鲜电商平台的网页数据。这是一个比较简单的数据采集任务。希望高手帮忙。提交物：1. 采集的数据：主要根据我们所给出的需求给出所采集的具体excle或者csv数据格式的文件。特别注意:a.数据采集可采用python或者java或者第三方采集工具，以上方法均可。b.具体的采集需求需要进一步沟通。c.采集任务比较简单。如果有不清楚的地方，随时联系。谢谢。,2022-10-30,2022.11.07,任务编号：1019903,300.0,7天,广东省-江门市-蓬江区,创梦科技工作室,https://shop.epwk.com/j7n38qowo5e1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,数据采集,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
【图像识别】水位视觉识别自动观读,https://task.epwk.com/982186/,4009人,2人,¥800,圆满完成,雇佣,o61ea26d8479fa,水面位置识读：玻璃管子里一个10mm高度范围的固定区域，水位在此区间随机变化，用固定相机获取照片输入电脑，AI技术识别水面线，判断位置并获得水位读数，0.1mm精度，低采样率（分钟级别），提交源代码,2022-02-15,2022.03.13,任务编号：982186,800.0,5天,重庆市-市辖区,泾县云顶文化传媒有限公司,https://shop.epwk.com/j7n38q01e5e1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,图像识别,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
【商标注册】商标图形设计,https://task.epwk.com/984692/,886人,6人,¥500,圆满完成,单人悬赏,lxm1971,"设计要求：1、大米袋子上面的商标设计，简洁有寓意2、图形上包含“莲”或“花”字或图形3、大气、简洁、有行业特点；4、有视觉冲击力，醒目易识别；5、附上创意说明。知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2022-03-03,2022.07.29,任务编号：984692,500.0,,,微时代snz0M,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,商标注册,￥ 500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
