Source,Target,Type,EdgeType
knowledge:合同撰写,knowledge:旅游业务,涉及,知识-知识
knowledge:合同撰写,knowledge:责任规划,包括,知识-知识
knowledge:责任规划,knowledge:承担责任,规划要求,知识-知识
knowledge:合同撰写,knowledge:邮箱联系,通过,知识-知识
knowledge:海外仓网站首页,knowledge:亚马逊客户,面向,知识-知识
knowledge:海外仓网站首页,knowledge:速卖通客户,面向,知识-知识
knowledge:海外仓网站首页,knowledge:海外仓服务,设计,知识-知识
knowledge:网页UI,knowledge:云记事本,设计,知识-知识
knowledge:网页UI,knowledge:云收藏夹,设计,知识-知识
knowledge:云记事本,knowledge:分三个版块,包含,知识-知识
knowledge:云记事本,knowledge:详情看图,包含,知识-知识
knowledge:云收藏夹,knowledge:收藏网址,包含,知识-知识
knowledge:云收藏夹,knowledge:添加删除,包含,知识-知识
knowledge:云收藏夹,knowledge:网址分类,包含,知识-知识
knowledge:风格优化设计,knowledge:首页,设计对象,知识-知识
knowledge:风格优化设计,knowledge:旅行语音解说项目,面向,知识-知识
knowledge:网站首页,knowledge:UI设计,需要,知识-知识
knowledge:UI设计,knowledge:工业,采用,知识-知识
knowledge:UI设计,knowledge:复古,采用,知识-知识
knowledge:UI设计,knowledge:一起作业网的首页,参考,知识-知识
knowledge:社区论坛首页,knowledge:教育类风格,设计,知识-知识
knowledge:社区论坛首页,knowledge:空间紧凑合理,设计,知识-知识
knowledge:社区论坛首页,knowledge:内容丰富,设计,知识-知识
knowledge:三个搜索框,knowledge:百度,面向,知识-知识
knowledge:三个搜索框,knowledge:淘宝,面向,知识-知识
knowledge:三个搜索框,knowledge:站内,面向,知识-知识
knowledge:社区论坛首页,knowledge:便民网址导航,设计,知识-知识
knowledge:社区论坛首页,knowledge:论坛分类,设计,知识-知识
knowledge:论坛分类,knowledge:榜单,设计,知识-知识
knowledge:榜单,knowledge:图片文字抢眼,设计,知识-知识
knowledge:LOGO,knowledge:自由上色,设计要求,知识-知识
knowledge:餐饮软件PAD界面,knowledge:美观,设计,知识-知识
knowledge:餐饮软件PAD界面,knowledge:大方,设计,知识-知识
knowledge:餐饮软件PAD界面,knowledge:原创,约束,知识-知识
knowledge:餐饮软件PAD界面,knowledge:第一次发布,约束,知识-知识
knowledge:餐饮软件PAD界面,knowledge:未侵犯他人的著作权,约束,知识-知识
knowledge:餐饮软件界面,knowledge:美观,设计,知识-知识
knowledge:餐饮软件界面,knowledge:大方,设计,知识-知识
knowledge:餐饮软件界面,knowledge:功能,包含,知识-知识
knowledge:店铺海报封面,knowledge:简单大方,设计风格,知识-知识
knowledge:店铺海报封面,knowledge:浅色背景,设计风格,知识-知识
knowledge:二维码,knowledge:简单大方,设计风格,知识-知识
knowledge:二维码,knowledge:浅色背景,设计风格,知识-知识
knowledge:店铺海报封面,knowledge:地址,设计功能,知识-知识
knowledge:店铺海报封面,knowledge:联系电话,设计功能,知识-知识
knowledge:设计要求,knowledge:简单大方,面向风格,知识-知识
knowledge:设计要求,knowledge:浅色背景,面向风格,知识-知识
knowledge:配音网站Logo,knowledge:全球用户,面向,知识-知识
knowledge:配音网站Logo,knowledge:国际潮流,设计风格为,知识-知识
knowledge:配音网站Logo,knowledge:中国元素,设计风格为,知识-知识
knowledge:企业LOGO,knowledge:员工徽章,设计,知识-知识
knowledge:圆形徽章,knowledge:镶三颗钻,设计要求,知识-知识
knowledge:员工徽章,knowledge:“悦花越有”字样,包含,知识-知识
knowledge:员工徽章,knowledge:金色底色,包含,知识-知识
knowledge:员工徽章,knowledge:企业员工,面向,知识-知识
knowledge:二维码图片,knowledge:缩小,设计,知识-知识
knowledge:缩小,knowledge:背景透明,需要满足,知识-知识
knowledge:缩小,knowledge:微信扫码识别,需要满足,知识-知识
knowledge:测试图片,knowledge:微信扫码识别,用途,知识-知识
knowledge:二维码图片,knowledge:Photoshop,工具,知识-知识
knowledge:信用卡广告,knowledge:有吸引力,设计风格,知识-知识
knowledge:信用卡广告,knowledge:用户点击欲望,设计要求,知识-知识
knowledge:清晰图片,knowledge:压缩程度,设计权衡,知识-知识
knowledge:广告语动态GIF,knowledge:展示广告语,设计,知识-知识
knowledge:广告语动态GIF,knowledge:珠宝玉石商城潜在客户,面向,知识-知识
knowledge:广告语动态GIF,knowledge:网页嵌入,设计功能,知识-知识
knowledge:广告语动态GIF,knowledge:行业特点,设计要求,知识-知识
knowledge:图标按钮,knowledge:图标或徽章设计,设计,知识-知识
knowledge:图标或徽章设计,knowledge:英,包含文字,知识-知识
knowledge:图标或徽章设计,knowledge:族,包含文字,知识-知识
knowledge:图标或徽章设计,knowledge:镇,包含文字,知识-知识
knowledge:图标或徽章设计,knowledge:酋,包含文字,知识-知识
knowledge:图标或徽章设计,knowledge:国,包含文字,知识-知识
knowledge:图标或徽章设计,knowledge:帝,包含文字,知识-知识
knowledge:网站首页,knowledge:网站UI设计,修改,知识-知识
knowledge:装饰公司LOGO,knowledge:乌龟与房子紧密联系,面向,知识-知识
knowledge:装饰公司LOGO,knowledge:简化风格,设计风格,知识-知识
knowledge:建筑类网站主页,knowledge:突破传统网站格局,设计,知识-知识
knowledge:建筑类网站主页,knowledge:漂亮,设计风格,知识-知识
knowledge:建筑类网站主页,knowledge:大气,设计风格,知识-知识
knowledge:建筑类网站主页,knowledge:符合当下主流审美,设计风格,知识-知识
knowledge:建筑类网站主页,knowledge:建筑,面向,知识-知识
knowledge:网络广告公司首页,knowledge:单页,包含,知识-知识
knowledge:单页,knowledge:banner,包含,知识-知识
knowledge:菜品图,knowledge:百度外卖图片,设计,知识-知识
knowledge:LOGO店名,knowledge:百度外卖图片,设计,知识-知识
knowledge:AI文件,knowledge:百度外卖图片,面向,知识-知识
knowledge:高格调,knowledge:百度外卖图片,设计,知识-知识
knowledge:AI格式图,knowledge:百度外卖图片,设计要求,知识-知识
knowledge:徽章,knowledge:完善细化,需要,知识-知识
knowledge:徽章,knowledge:江南风格,设计风格,知识-知识
knowledge:徽章,knowledge:外事接待,面向,知识-知识
knowledge:徽章,knowledge:镀金,制作要求,知识-知识
knowledge:徽章,knowledge:色彩金黄色,颜色要求,知识-知识
knowledge:徽章,knowledge:外形框架地图,图形限制,知识-知识
knowledge:徽章,knowledge:艺术化细节,细节要求,知识-知识
knowledge:易联众健康通APP,knowledge:产品宣传语,征集,知识-知识
