Source,Target,Type,EdgeType
任务编号：467629,knowledge:车队合作,关联,订单-知识
任务编号：467629,knowledge:合同撰写,关联,订单-知识
任务编号：467629,knowledge:旅游业务,关联,订单-知识
任务编号：467629,knowledge:包车业务,关联,订单-知识
任务编号：467629,knowledge:邮箱联系,关联,订单-知识
任务编号：467629,knowledge:责任规划,关联,订单-知识
任务编号：467629,knowledge:承担责任,关联,订单-知识
任务编号：467591,knowledge:海外仓网站首页,关联,订单-知识
任务编号：467591,knowledge:亚马逊客户,关联,订单-知识
任务编号：467591,knowledge:速卖通客户,关联,订单-知识
任务编号：467591,knowledge:海外仓服务,关联,订单-知识
任务编号：466342,knowledge:网页UI,关联,订单-知识
任务编号：466342,knowledge:云记事本,关联,订单-知识
任务编号：466342,knowledge:云收藏夹,关联,订单-知识
任务编号：466342,knowledge:界面功能,关联,订单-知识
任务编号：466342,knowledge:分三个版块,关联,订单-知识
任务编号：466342,knowledge:详情看图,关联,订单-知识
任务编号：466342,knowledge:收藏网址,关联,订单-知识
任务编号：466342,knowledge:添加删除,关联,订单-知识
任务编号：466342,knowledge:网址分类,关联,订单-知识
任务编号：461489,knowledge:首页,关联,订单-知识
任务编号：461489,knowledge:风格优化设计,关联,订单-知识
任务编号：461489,knowledge:旅行语音解说项目,关联,订单-知识
任务编号：460951,knowledge:网站首页,关联,订单-知识
任务编号：460951,knowledge:UI设计,关联,订单-知识
任务编号：460951,knowledge:工业,关联,订单-知识
任务编号：460951,knowledge:复古,关联,订单-知识
任务编号：460951,knowledge:一起作业网的首页,关联,订单-知识
任务编号：457886,knowledge:社区论坛首页,关联,订单-知识
任务编号：457886,knowledge:教育类风格,关联,订单-知识
任务编号：457886,knowledge:空间紧凑合理,关联,订单-知识
任务编号：457886,knowledge:内容丰富,关联,订单-知识
任务编号：457886,knowledge:三个搜索框,关联,订单-知识
任务编号：457886,knowledge:百度,关联,订单-知识
任务编号：457886,knowledge:淘宝,关联,订单-知识
任务编号：457886,knowledge:站内,关联,订单-知识
任务编号：457886,knowledge:便民网址导航,关联,订单-知识
任务编号：457886,knowledge:论坛分类,关联,订单-知识
任务编号：457886,knowledge:榜单,关联,订单-知识
任务编号：457886,knowledge:图片文字抢眼,关联,订单-知识
任务编号：457886,knowledge:LOGO,关联,订单-知识
任务编号：457886,knowledge:自由上色,关联,订单-知识
任务编号：457441,knowledge:餐饮软件PAD界面,关联,订单-知识
任务编号：457441,knowledge:美观,关联,订单-知识
任务编号：457441,knowledge:大方,关联,订单-知识
任务编号：457441,knowledge:原创,关联,订单-知识
任务编号：457441,knowledge:第一次发布,关联,订单-知识
任务编号：457441,knowledge:未侵犯他人的著作权,关联,订单-知识
任务编号：456636,knowledge:餐饮软件界面,关联,订单-知识
任务编号：456636,knowledge:美观,关联,订单-知识
任务编号：456636,knowledge:大方,关联,订单-知识
任务编号：456636,knowledge:原创,关联,订单-知识
任务编号：456636,knowledge:第一次发布,关联,订单-知识
任务编号：456636,knowledge:未侵犯他人的著作权,关联,订单-知识
任务编号：456636,knowledge:知识产权,关联,订单-知识
任务编号：456636,knowledge:桌台,关联,订单-知识
任务编号：456636,knowledge:功能,关联,订单-知识
任务编号：456636,knowledge:布局,关联,订单-知识
任务编号：454279,knowledge:店铺海报封面,关联,订单-知识
任务编号：454279,knowledge:二维码,关联,订单-知识
任务编号：454279,knowledge:简单大方,关联,订单-知识
任务编号：454279,knowledge:浅色背景,关联,订单-知识
任务编号：454279,knowledge:地址,关联,订单-知识
任务编号：454279,knowledge:联系电话,关联,订单-知识
任务编号：454279,knowledge:设计要求,关联,订单-知识
任务编号：454736,knowledge:配音网站Logo,关联,订单-知识
任务编号：454736,knowledge:全球用户,关联,订单-知识
任务编号：454736,knowledge:国际潮流,关联,订单-知识
任务编号：454736,knowledge:中国元素,关联,订单-知识
任务编号：453398,knowledge:企业LOGO,关联,订单-知识
任务编号：453398,knowledge:员工徽章,关联,订单-知识
任务编号：453398,knowledge:圆形徽章,关联,订单-知识
任务编号：453398,knowledge:方形徽章,关联,订单-知识
任务编号：453398,knowledge:镶三颗钻,关联,订单-知识
任务编号：453398,knowledge:“悦花越有”字样,关联,订单-知识
任务编号：453398,knowledge:金色底色,关联,订单-知识
任务编号：453398,knowledge:企业员工,关联,订单-知识
任务编号：452732,knowledge:二维码图片,关联,订单-知识
任务编号：452732,knowledge:缩小,关联,订单-知识
任务编号：452732,knowledge:背景透明,关联,订单-知识
任务编号：452732,knowledge:微信扫码识别,关联,订单-知识
任务编号：452732,knowledge:测试图片,关联,订单-知识
任务编号：452732,knowledge:Photoshop,关联,订单-知识
任务编号：452486,knowledge:信用卡广告,关联,订单-知识
任务编号：452486,knowledge:有吸引力,关联,订单-知识
任务编号：452486,knowledge:用户点击欲望,关联,订单-知识
任务编号：452486,knowledge:立即申请按钮,关联,订单-知识
任务编号：452486,knowledge:清晰图片,关联,订单-知识
任务编号：452486,knowledge:压缩程度,关联,订单-知识
任务编号：452486,knowledge:机型适配,关联,订单-知识
任务编号：452486,knowledge:浏览器兼容性,关联,订单-知识
任务编号：448643,knowledge:广告语动态GIF,关联,订单-知识
任务编号：448643,knowledge:展示广告语,关联,订单-知识
任务编号：448643,knowledge:珠宝玉石商城潜在客户,关联,订单-知识
任务编号：448643,knowledge:网页嵌入,关联,订单-知识
任务编号：448643,knowledge:行业特点,关联,订单-知识
任务编号：448227,knowledge:图标按钮,关联,订单-知识
任务编号：448227,knowledge:图标或徽章设计,关联,订单-知识
任务编号：448227,knowledge:每个图上有一个字,关联,订单-知识
任务编号：448227,knowledge:英,关联,订单-知识
任务编号：448227,knowledge:族,关联,订单-知识
任务编号：448227,knowledge:镇,关联,订单-知识
任务编号：448227,knowledge:酋,关联,订单-知识
任务编号：448227,knowledge:国,关联,订单-知识
任务编号：448227,knowledge:帝,关联,订单-知识
任务编号：446210,knowledge:网站首页,关联,订单-知识
任务编号：446210,knowledge:网站UI设计,关联,订单-知识
任务编号：441101,knowledge:装饰公司LOGO,关联,订单-知识
任务编号：441101,knowledge:名片设计,关联,订单-知识
任务编号：441101,knowledge:乌龟与房子紧密联系,关联,订单-知识
任务编号：441101,knowledge:简化风格,关联,订单-知识
任务编号：441101,knowledge:年轻人,关联,订单-知识
任务编号：441101,knowledge:版权合规,关联,订单-知识
任务编号：430445,knowledge:建筑类网站主页,关联,订单-知识
任务编号：430445,knowledge:突破传统网站格局,关联,订单-知识
任务编号：430445,knowledge:漂亮,关联,订单-知识
任务编号：430445,knowledge:大气,关联,订单-知识
任务编号：430445,knowledge:符合当下主流审美,关联,订单-知识
任务编号：430445,knowledge:建筑,关联,订单-知识
任务编号：427277,knowledge:教育咨询网站PC首页UI,关联,订单-知识
任务编号：427277,knowledge:品牌元素突出,关联,订单-知识
任务编号：427277,knowledge:大气,关联,订单-知识
任务编号：427277,knowledge:简洁,关联,订单-知识
任务编号：427277,knowledge:明快,关联,订单-知识
任务编号：427277,knowledge:雅,关联,订单-知识
任务编号：427277,knowledge:亲和力,关联,订单-知识
任务编号：427277,knowledge:视觉冲击力,关联,订单-知识
任务编号：427277,knowledge:大公司管理层,关联,订单-知识
任务编号：423315,knowledge:网络广告公司首页,关联,订单-知识
任务编号：423315,knowledge:单页,关联,订单-知识
任务编号：423315,knowledge:banner,关联,订单-知识
任务编号：423315,knowledge:样式,关联,订单-知识
任务编号：423315,knowledge:PSD文件,关联,订单-知识
任务编号：423315,knowledge:草图,关联,订单-知识
任务编号：423315,knowledge:不用切图,关联,订单-知识
任务编号：423315,knowledge:完整PSD源文件,关联,订单-知识
任务编号：422902,knowledge:百度外卖图片,关联,订单-知识
任务编号：422902,knowledge:菜品图,关联,订单-知识
任务编号：422902,knowledge:LOGO店名,关联,订单-知识
任务编号：422902,knowledge:AI文件,关联,订单-知识
任务编号：422902,knowledge:高格调,关联,订单-知识
任务编号：422902,knowledge:AI格式图,关联,订单-知识
任务编号：422005,knowledge:徽章,关联,订单-知识
任务编号：422005,knowledge:完善细化,关联,订单-知识
任务编号：422005,knowledge:江南风格,关联,订单-知识
任务编号：422005,knowledge:外事接待,关联,订单-知识
任务编号：422005,knowledge:镀金,关联,订单-知识
任务编号：422005,knowledge:色彩金黄色,关联,订单-知识
任务编号：422005,knowledge:外形框架地图,关联,订单-知识
任务编号：422005,knowledge:艺术化细节,关联,订单-知识
任务编号：418435,knowledge:易联众健康通APP,关联,订单-知识
任务编号：418435,knowledge:产品宣传语,关联,订单-知识
任务编号：418435,knowledge:企业形象,关联,订单-知识
任务编号：418435,knowledge:品牌标识突出,关联,订单-知识
任务编号：418435,knowledge:医院自助服务区,关联,订单-知识
任务编号：418435,knowledge:广大威客,关联,订单-知识
任务编号：418435,knowledge:健康时尚生活方式,关联,订单-知识
任务编号：418435,knowledge:创意说明,关联,订单-知识
任务编号：418435,knowledge:Logo设计,关联,订单-知识
任务编号：418435,knowledge:原创,关联,订单-知识
任务编号：418435,knowledge:不侵犯他人著作权,关联,订单-知识
任务编号：418435,knowledge:医院检查报告单查询,关联,订单-知识
任务编号：418435,knowledge:预约挂号,关联,订单-知识
任务编号：418435,knowledge:个人医保信息查询,关联,订单-知识
任务编号：418435,knowledge:软件工具,关联,订单-知识
任务编号：418435,knowledge:作品完整方案,关联,订单-知识
任务编号：417482,knowledge:微信订阅号图标,关联,订单-知识
任务编号：417482,knowledge:Shangguo,关联,订单-知识
任务编号：417482,knowledge:Pie,关联,订单-知识
任务编号：417482,knowledge:三个颜色,关联,订单-知识
任务编号：417482,knowledge:渐变效果,关联,订单-知识
任务编号：417482,knowledge:水果消费者,关联,订单-知识
任务编号：413478,knowledge:网站HOME页,关联,订单-知识
任务编号：413478,knowledge:大图设计,关联,订单-知识
任务编号：413478,knowledge:产品宣传,关联,订单-知识
任务编号：413478,knowledge:欧美客户,关联,订单-知识
任务编号：413478,knowledge:大方,关联,订单-知识
任务编号：413478,knowledge:美感,关联,订单-知识
任务编号：413478,knowledge:SNOW,关联,订单-知识
