Designer_ID,Year,Niche_Width,Resource_Volume,Total_Overlap,Mean_Overlap,Competitor_Count
B1102282,2025,2.5649493574615363,0.9999999999999998,3.6236095644623227,0.007999138111395855,4
B1102369,2025,3.401197381662155,1.0,1.4688922213081401,0.0032425876850069317,2
B1103518,2025,5.7449196116616505,0.9999999999999999,48.13427040712209,0.10625666756539093,53
B1104621,2025,4.97704301573892,0.9999999999999998,69.65433683263386,0.15376233296387165,73
B1104934,2025,0.0,1.0,2.9637910969678116,0.006542585203019452,3
B1104935,2025,3.8346914320130847,1.0,1.3611368799879233,0.0030047171743662767,2
B1105099,2025,4.560419284058849,0.9999999999999998,32.19561762618665,0.07107200358981601,35
B1105153,2025,4.97704301573892,0.9999999999999998,69.65433683263386,0.15376233296387165,73
B1105185,2025,4.560419284058849,0.9999999999999998,32.19561762618665,0.07107200358981601,35
B1106462,2025,4.97704301573892,0.9999999999999998,69.65433683263386,0.15376233296387165,73
B1106860,2025,2.5649493574615363,0.9999999999999998,3.6236095644623227,0.007999138111395855,4
B1107185,2025,4.560419284058849,0.9999999999999998,32.19561762618665,0.07107200358981601,35
B1107768,2025,4.97704301573892,0.9999999999999998,69.65433683263386,0.15376233296387165,73
B1107851,2025,2.5400363038209806,0.9999999999999998,4.913782671628559,0.010847202365625959,8
B1108265,2025,4.426331005187424,1.0,19.806437684113355,0.04372282049473147,23
B1108626,2025,4.560419284058849,0.9999999999999998,32.19561762618665,0.07107200358981601,35
B1108981,2025,4.97704301573892,0.9999999999999998,69.65433683263386,0.15376233296387165,73
B1109857,2025,6.020160731953786,0.9999999999999997,52.856234589395434,0.11668042955716432,60
B1110491,2025,4.97704301573892,0.9999999999999998,69.65433683263386,0.15376233296387165,73
B1110557,2025,3.2670775556259803,1.0,5.108961852416697,0.011278061484363569,7
B1110615,2025,2.5400363038209806,0.9999999999999998,4.913782671628559,0.010847202365625959,8
B1110616,2025,2.6393405872324323,1.0,4.415248151818842,0.009746684661851749,5
B1112246,2025,1.7917594692280547,0.9999999999999999,6.821812438601076,0.015059188606183391,7
B1112424,2025,2.5649493574615363,0.9999999999999998,3.6236095644623227,0.007999138111395855,4
B1112435,2025,4.97704301573892,0.9999999999999998,69.65433683263386,0.15376233296387165,73
B1112449,2025,4.97704301573892,0.9999999999999998,69.65433683263386,0.15376233296387165,73
B1112627,2025,4.97704301573892,0.9999999999999998,69.65433683263386,0.15376233296387165,73
B1112911,2025,6.020160731953786,0.9999999999999997,52.856234589395434,0.11668042955716432,60
B1113153,2025,4.97704301573892,0.9999999999999998,69.65433683263386,0.15376233296387165,73
B1113192,2025,1.945910149055313,0.9999999999999998,2.0000000000000004,0.004415011037527595,2
B1113335,2025,4.97704301573892,0.9999999999999998,69.65433683263386,0.15376233296387165,73
B1113555,2025,4.97704301573892,0.9999999999999998,69.65433683263386,0.15376233296387165,73
B1113680,2025,4.97704301573892,0.9999999999999998,69.65433683263386,0.15376233296387165,73
B1113833,2025,4.426331005187424,1.0,19.806437684113355,0.04372282049473147,23
B1113894,2025,4.97704301573892,0.9999999999999998,69.65433683263386,0.15376233296387165,73
B1114307,2025,6.020160731953786,0.9999999999999997,52.856234589395434,0.11668042955716432,60
B1114486,2025,4.560419284058849,0.9999999999999998,32.19561762618665,0.07107200358981601,35
B1114487,2025,4.560419284058849,0.9999999999999998,32.19561762618665,0.07107200358981601,35
B1114662,2025,4.97704301573892,0.9999999999999998,69.65433683263386,0.15376233296387165,73
B1114876,2025,3.5450107617583355,1.0,4.761989678700207,0.010512118496026946,6
B1115112,2025,1.7917594692280547,0.9999999999999999,6.821812438601076,0.015059188606183391,7
