Source,Target,Type,EdgeType
knowledge:成都市柒便利商贸有限公司,knowledge:副食店,合作,知识-知识
knowledge:成都市柒便利商贸有限公司,knowledge:小超市,合作,知识-知识
knowledge:副食店,knowledge:SendbooK送书,品牌统一,知识-知识
knowledge:小超市,knowledge:SendbooK送书,品牌统一,知识-知识
knowledge:成都市柒便利商贸有限公司,knowledge:线上经营管理,帮助,知识-知识
knowledge:线上经营管理,knowledge:副食店,面向,知识-知识
knowledge:线上经营管理,knowledge:小超市,面向,知识-知识
knowledge:美团外卖,knowledge:副食店,上线,知识-知识
knowledge:饿了么外卖,knowledge:副食店,上线,知识-知识
knowledge:京东到家外卖,knowledge:副食店,上线,知识-知识
knowledge:美团外卖,knowledge:小超市,上线,知识-知识
knowledge:饿了么外卖,knowledge:小超市,上线,知识-知识
knowledge:京东到家外卖,knowledge:小超市,上线,知识-知识
knowledge:logo,knowledge:与房子和金融有关的图案,设计,知识-知识
knowledge:房地产中介商标,knowledge:注册商标,面向,知识-知识
knowledge:角标,knowledge:获奖单位,面向,知识-知识
knowledge:角标,knowledge:产品名字,显示,知识-知识
knowledge:ANTOP奖项,knowledge:角标,设计,知识-知识
knowledge:分析测试领域,knowledge:ANTOP奖项,表彰,知识-知识
knowledge:奖项logo,knowledge:设计效果,作为基础,知识-知识
knowledge:APP界面设计,knowledge:封面图,设计,知识-知识
knowledge:封面图,knowledge:原创,要求,知识-知识
knowledge:封面图,knowledge:不能抄袭别家的,要求,知识-知识
knowledge:封面图,knowledge:设计不能侵权,要求,知识-知识
knowledge:商标名,knowledge:出国留学咨询,面向,知识-知识
knowledge:商标名,knowledge:雅思托福培训,面向,知识-知识
knowledge:商标名,knowledge:注册,设计,知识-知识
knowledge:商标名,knowledge:成功获得赏金,设计,知识-知识
knowledge:Banner设计,knowledge:首页banner,设计,知识-知识
knowledge:Banner设计,knowledge:侧页banner,设计,知识-知识
knowledge:Banner设计,knowledge:手机浏览器版本,设计,知识-知识
knowledge:Banner设计,knowledge:微信展示墙,设计,知识-知识
knowledge:首页banner,knowledge:✖︎,物理约束,知识-知识
knowledge:首页banner,knowledge:Maximum,物理约束,知识-知识
knowledge:首页banner,knowledge:File,物理约束,知识-知识
knowledge:侧页banner,knowledge:✖︎,物理约束,知识-知识
knowledge:手机浏览器版本,knowledge:✖︎,物理约束,知识-知识
knowledge:Banner设计,knowledge:外国人,面向,知识-知识
knowledge:Banner设计,knowledge:外国客户,面向,知识-知识
knowledge:Banner设计,knowledge:JPG格式,需提交,知识-知识
knowledge:Banner设计,knowledge:源文件,需提交,知识-知识
knowledge:Banner设计,knowledge:外国人喜欢的风格,面向,知识-知识
knowledge:网页平面设计,knowledge:符合外国人的审美观,设计风格,知识-知识
knowledge:网页平面设计,knowledge:外国人,面向,知识-知识
knowledge:网页平面设计,knowledge:外资企业,面向,知识-知识
knowledge:符合外国人的审美观,knowledge:不夸张但有美感的比例,设计要求,知识-知识
knowledge:污话不说网站首页,knowledge:大气,设计风格,知识-知识
knowledge:污话不说网站首页,knowledge:简洁,设计风格,知识-知识
knowledge:污话不说网站首页,knowledge:内容饱满,设计风格,知识-知识
knowledge:污话不说网站首页,knowledge:色彩搭配合理,设计要求,知识-知识
knowledge:污话不说网站首页,knowledge:视觉冲击力,设计要求,知识-知识
knowledge:污话不说网站首页,knowledge:醒目易浏览,设计要求,知识-知识
knowledge:污话不说网站首页,knowledge:突出污话不说主题,设计要求,知识-知识
