Source,Target,Type
knowledge:中华寿喜文化商标,knowledge:全球华人,面向
knowledge:中华寿喜文化商标,knowledge:喜欢中华寿喜文化的世界友人,面向
knowledge:中华寿喜文化商标,knowledge:简洁明快,呈现风格
knowledge:中华寿喜文化商标,knowledge:大气、简约,呈现风格
knowledge:商标注册,knowledge:原创,需满足
knowledge:商标注册,knowledge:法律合规,需满足
knowledge:中华寿喜文化商标,knowledge:知识产权,含有
knowledge:女裤详情页,knowledge:页面设计,设计
knowledge:网站UI设计,knowledge:女裤详情页设计,设计
knowledge:女裤详情页设计,knowledge:电话,联系方式
knowledge:软件UI设计,knowledge:app图标,设计
knowledge:高清图标,knowledge:psd格式原始文件,输出格式
knowledge:高清图标,knowledge:512*512尺寸PNG,尺寸要求
knowledge:app图标,knowledge:公开使用,设计要求
knowledge:app图标,knowledge:碎片恋人字样,设计内容
knowledge:app图标,knowledge:碎片lover字样,设计内容
knowledge:app图标,knowledge:碎片水晶图示,设计风格
knowledge:app图标,knowledge:性感诱惑元素,设计风格
knowledge:微信界面,knowledge:页面设计,设计
knowledge:页面设计,knowledge:手机操控,符合
knowledge:页面设计,knowledge:参考样式1,参考
knowledge:页面设计,knowledge:参考样式2,参考
knowledge:页面设计,knowledge:界面设计一,依据
knowledge:页面设计,knowledge:界面设计二,依据
knowledge:页面设计,knowledge:一个页面浏览完毕,限制
knowledge:X展架,knowledge:微信公众号,设计
knowledge:X展架,knowledge:金钥匙财富,面向
knowledge:金钥匙财富,knowledge:财富大门,寓意
knowledge:金钥匙财富,knowledge:理财专区,包含
knowledge:金钥匙财富,knowledge:投资专区,包含
knowledge:金钥匙财富,knowledge:健康教子,包含
knowledge:安卓手机应用图标,knowledge:灯具行业,面向
knowledge:安卓手机应用图标,knowledge:简约,设计风格
knowledge:安卓手机应用图标,knowledge:大方,设计风格
knowledge:安卓手机应用图标,knowledge:宝之蓝照明,品牌关联
knowledge:系统UI界面首页,knowledge:Form-World平台,应用于
knowledge:界面设计,knowledge:关系架构图,显示
knowledge:logo,knowledge:界面设计,使用
knowledge:界面设计,knowledge:精致、有厚重感、层次感,风格为
knowledge:界面设计,knowledge:A4纸,大小为
knowledge:界面设计,knowledge:颜色不超过3个,限制
knowledge:业界有经验设计师,knowledge:界面设计,面向
knowledge:界面设计,knowledge:有链接功能,包含
knowledge:英融资本通,knowledge:logo,文字内容
knowledge:环保公益网站推广内容,knowledge:宣传环保酵素,设计
knowledge:宣传环保酵素,knowledge:热心环保与公益的人,面向
knowledge:背景绿色环保类图片,knowledge:环保公益网站推广内容,设计要求
knowledge:网站URL水印,knowledge:环保公益网站推广内容,设计要求
knowledge:家具O2O项目,knowledge:安卓APP,设计
knowledge:家具O2O项目,knowledge:IOS APP,设计
knowledge:家具O2O项目,knowledge:后台,设计
knowledge:IOS APP,knowledge:Object-C,开发工具
knowledge:IOS APP,knowledge:Xcode,开发环境
knowledge:IOS APP,knowledge:64位应用开发,开发要求
knowledge:移动客户端,knowledge:IOS平台,面向
knowledge:移动客户端,knowledge:Android平台,面向
knowledge:操作系统,knowledge:Microsoft Windows 2003 Server,支持
knowledge:IIS 6.0,knowledge:操作系统,支持环境
knowledge:程序员,knowledge:网站后台程序,负责
knowledge:PSD界面图,knowledge:程序员,辅助
knowledge:程序员,knowledge:前端切图生成html效果,遵循
knowledge:读取动态数据的程序,knowledge:显示,设计
knowledge:显示,knowledge:网页,面向
knowledge:显示,knowledge:终端设备,面向
knowledge:dll文件,knowledge:MODBUS规约,符合
knowledge:网页,knowledge:遥测、遥信值显示页面,包括
knowledge:网页,knowledge:历史数据查询页面,包括
knowledge:学恩作业王APP,knowledge:导入习题,设计
knowledge:导入习题,knowledge:选择,可选
knowledge:导入习题,knowledge:书写,可选
knowledge:学恩作业王APP,knowledge:注册,设计
knowledge:学恩作业王APP,knowledge:显示习题,设计
knowledge:学恩作业王APP,knowledge:闯关形式,设计
knowledge:学恩作业王APP,knowledge:数据分析输入,设计
knowledge:学恩作业王APP,knowledge:输入模式,设计
knowledge:输入模式,knowledge:客观题,面向
knowledge:输入模式,knowledge:主观题,面向
knowledge:学恩作业王APP,knowledge:改题,设计
knowledge:改题,knowledge:客观题,面向
knowledge:改题,knowledge:主观题,面向
knowledge:学恩作业王APP,knowledge:安卓,支持
knowledge:学恩作业王APP,knowledge:苹果IOS系统,支持
knowledge:安卓,knowledge:4寸以上,物理约束
knowledge:安卓,knowledge:4.0版本以上,物理约束
knowledge:学恩作业王APP,knowledge:清晰画质,满足
knowledge:企业官网,knowledge:网站美工,设计
knowledge:网站美工,knowledge:高端大气,面向
knowledge:企业官网,knowledge:瀑布流效果,设计
knowledge:企业官网,knowledge:Bootstrap,使用
knowledge:会员,knowledge:积分,充值
knowledge:会员,knowledge:RMB素材,上传出售
knowledge:网站整体功能与效果,knowledge:昵图、千图网,参考
knowledge:网站整体功能与效果,knowledge:功能简单,满足
knowledge:O2O项目APP,knowledge:高保真原型,设计
knowledge:高保真原型,knowledge:Axure7.0,使用工具
knowledge:高保真原型,knowledge:静态界面,包含
knowledge:高保真原型,knowledge:交互效果,包含
knowledge:安卓APP,knowledge:增量开发,设计
knowledge:增量开发,knowledge:GPS开发,包含
knowledge:GPS开发,knowledge:GPS算法,需要
knowledge:增量开发,knowledge:视频播放模块,包含
knowledge:视频播放模块,knowledge:XML文档,读取
knowledge:XML文档,knowledge:视频位置信息,包含
knowledge:增量开发,knowledge:界面选择,包含
knowledge:界面选择,knowledge:数据包,调用
knowledge:增量开发,knowledge:GPS模块,包含
knowledge:GPS模块,knowledge:定位信息动态展示,支持
knowledge:增量开发,knowledge:“关于”页面,包含
knowledge:“关于”页面,knowledge:用户介绍,提供
knowledge:“关于”页面,knowledge:软件开发商介绍,提供
knowledge:增量开发,knowledge:“商户”页面,包含
knowledge:“商户”页面,knowledge:商户展示,用于
knowledge:“商户”页面,knowledge:上海地区,限制
knowledge:企业官网,knowledge:论坛网站,设计
knowledge:论坛网站,knowledge:签到功能,包含
knowledge:论坛网站,knowledge:等级展示,包含
knowledge:论坛网站,knowledge:地区选项,包含
knowledge:论坛网站,knowledge:即时更新,包含
knowledge:论坛网站,knowledge:支付宝支付,包含
knowledge:论坛网站,knowledge:分页功能,包含
knowledge:论坛网站,knowledge:版块增加,包含
knowledge:论坛网站,knowledge:SEO优化,包含
knowledge:SEO优化,knowledge:百度首页,面向
knowledge:地区选项,knowledge:银川,包含
knowledge:地区选项,knowledge:石嘴山,包含
knowledge:地区选项,knowledge:吴忠,包含
knowledge:地区选项,knowledge:固原,包含
knowledge:地区选项,knowledge:中卫,包含
knowledge:竞价平台型网站,knowledge:网站建设,设计
knowledge:电商网站,knowledge:竞价平台型网站,面向
knowledge:娱乐竞猜,knowledge:企业官网,设计
knowledge:首页，简单没有广告,knowledge:类似YY竞猜网站开发,要求
knowledge:竞猜页面,knowledge:类似YY竞猜网站开发,要求
knowledge:企业官网,knowledge:pc网站,设计
knowledge:企业官网,knowledge:手机网站,设计
knowledge:pc网站,knowledge:适合优化,面向
knowledge:手机网站,knowledge:适合优化,面向
knowledge:企业官网,knowledge:后台功能,设计
knowledge:企业官网,knowledge:php+mysql,设计
knowledge:企业官网,knowledge:兼容性好的MySQL版本,设计
knowledge:企业官网,knowledge:3-5天,设计要求
knowledge:网页页面,knowledge:美化,需要
knowledge:微盟会员系统,knowledge:关联业务,面向
knowledge:企业展示型网站建设,knowledge:展示型企业站,设计
knowledge:展示型企业站,knowledge:车辆金融按揭,融入
knowledge:展示型企业站,knowledge:新车二手车交易,融入
knowledge:展示型企业站,knowledge:物流运价,融入
knowledge:企业展示型网站建设,knowledge:大气,面向
knowledge:企业展示型网站建设,knowledge:整洁,面向
knowledge:企业展示型网站建设,knowledge:交互体验好,面向
knowledge:企业展示型网站建设,knowledge:时间限制,约束
knowledge:酒吧类资讯网站,knowledge:咨询+论坛,设计
knowledge:酒吧类资讯网站,knowledge:wordpress+discuz,面向
knowledge:酒吧类资讯网站,knowledge:主页,设计
knowledge:酒吧类资讯网站,knowledge:论坛,设计
knowledge:酒吧类资讯网站,knowledge:新闻、咨询类信息,设计
knowledge:酒吧类资讯网站,knowledge:树形框架,设计
knowledge:树形框架,knowledge:地域划分,包含
knowledge:树形框架,knowledge:商家信息,包含
knowledge:论坛,knowledge:论坛简单设定,要求
knowledge:酒吧类资讯网站,knowledge:源代码,提供
knowledge:酒吧类资讯网站,knowledge:开发文档,提供
knowledge:酒吧类资讯网站,knowledge:多浏览器支持,要求
knowledge:新闻、咨询类信息,knowledge:新闻咨询评价,功能
knowledge:酒吧类资讯网站,knowledge:更好建议,欢迎
knowledge:酒吧类资讯网站,knowledge:车主之家,类似
knowledge:APP界面设计,knowledge:三消小游戏,面向
knowledge:网站平面布局图,knowledge:网页模板,用于
knowledge:cms系统,knowledge:信息发布,支持
knowledge:cms系统,knowledge:后台管理,支持
knowledge:网页模板,knowledge:8个模板页数,约束
knowledge:cms系统,knowledge:ASP架构要求,优先考虑
knowledge:时时彩网站源码,knowledge:PHP,使用
knowledge:时时彩网站源码,knowledge:MYSQL,使用
knowledge:时时彩网站源码,knowledge:无加密,设计要求
knowledge:时时彩网站源码,knowledge:正常调试,实现
knowledge:11选5用户端,knowledge:推荐组合选项,设计
knowledge:用户选择,knowledge:圆角分模式,基于
knowledge:推荐组合选项,knowledge:推荐组合截止提前30秒,面向
knowledge:开奖号码更新,knowledge:用户购买推荐组合兑奖,触发
knowledge:企业官网,knowledge:网站前端开发,设计
knowledge:后端的ajax调用的前端接口,knowledge:网站功能,实现
knowledge:UI提供的psd图,knowledge:静态页面,关联
knowledge:需求文档,knowledge:静态页面,辅助
knowledge:联调,knowledge:网站功能,实现
knowledge:整站所有页面,knowledge:美工设计,设计
knowledge:网站,knowledge:程序功能,实现
knowledge:美工设计,knowledge:简洁大方,风格
knowledge:美工设计,knowledge:美工细腻漂亮,风格
knowledge:程序功能,knowledge:无BUG,约束
knowledge:网页全屏程序,knowledge:开机自启动,设计
knowledge:网页全屏程序,knowledge:兼容JQuery,设计
knowledge:网页全屏程序,knowledge:.NET,实现
knowledge:网页全屏程序,knowledge:触摸屏,面向
knowledge:直销结算系统,knowledge:有经验的能一周内交工,设计要求
knowledge:动态电子屏演示系统,knowledge:动作识别功能,设计
knowledge:动态电子屏演示系统,knowledge:开发者,面向
knowledge:动态电子屏演示系统,knowledge:Kinect,使用
knowledge:动作识别功能,knowledge:准确性高,满足
knowledge:动作识别功能,knowledge:操作手势识别,实现
knowledge:动态电子屏演示系统,knowledge:识别率要求,满足
knowledge:APP界面,knowledge:html5,设计
knowledge:APP界面,knowledge:CSS+DIV,设计
knowledge:网站首页平面设计图,knowledge:简洁,设计风格
knowledge:网站首页平面设计图,knowledge:大方,设计风格
knowledge:网站首页平面设计图,knowledge:高端,设计风格
knowledge:网站首页平面设计图,knowledge:亲和力,设计风格
knowledge:项目预算,knowledge:500-800元,金额范围
knowledge:剧情对话,knowledge:手机卡牌游戏,设计
knowledge:增加游戏的故事性及趣味性,knowledge:手机卡牌游戏,面向
knowledge:闹钟APP,knowledge:设置闹铃,设计
knowledge:闹钟APP,knowledge:图片,设计
knowledge:闹钟APP,knowledge:铃声,设计
knowledge:企业期刊客户端(Android＆IOS),knowledge:管理后台,开发
knowledge:管理后台,knowledge:现有企业内部电子刊物的发布与管理系统,基于
knowledge:iPhone客户端功能,knowledge:PC端功能,新增
knowledge:企业内部用户,knowledge:电子刊物,面向
knowledge:APP后台管理系统,knowledge:家长,面向
knowledge:APP后台管理系统,knowledge:成员管理系统,包含
knowledge:APP后台管理系统,knowledge:团队通知发送,包含
knowledge:APP后台管理系统,knowledge:教育新闻发送,包含
knowledge:APP后台管理系统,knowledge:一周内完成,受约束
knowledge:仿制网站,knowledge:集成论坛,集成
knowledge:仿制网站,knowledge:中、英双语,支持
knowledge:仿制网站,knowledge:可注册,支持
knowledge:仿制网站,knowledge:统一登录,支持
knowledge:仿制网站,knowledge:在线预约订单,支持
knowledge:后台可查询,knowledge:仿制网站,功能体现
knowledge:APP开发,knowledge:解锁赚钱,设计
knowledge:APP开发,knowledge:消息通知,设计
knowledge:APP开发,knowledge:签到有奖,设计
knowledge:APP开发,knowledge:每日一摇,设计
knowledge:APP开发,knowledge:邀请有奖,设计
knowledge:APP开发,knowledge:互动广场,设计
knowledge:APP开发,knowledge:赚钱任务列表,设计
knowledge:APP开发,knowledge:米乐赚推荐,设计
knowledge:APP开发,knowledge:有米推荐,设计
knowledge:APP开发,knowledge:APP联盟推荐,设计
