Year,Knowledge,Gap_Score,Top_Level,Avg_Level
2014,原创,0.04872968953717813,0.0669398444600853,0.01821015492290717
2014,知识产权,0.038828502482795256,0.05336423904224796,0.014535736559452705
2014,简洁,0.034857623886787516,0.045541715625967386,0.010684091739179872
2014,大气,0.03406376132133353,0.0439390955938659,0.00987533427253237
2014,LOGO设计,0.024014033698840503,0.02980544509603845,0.005791411397197949
2014,LOGO,0.022613497935875037,0.028738677922724182,0.006125179986849146
2014,视觉冲击力,0.02148316681820704,0.028460371485894476,0.006977204667687438
2014,明快,0.01818992564497363,0.023306771929467857,0.005116846284494229
2014,版权合规,0.014151860368162652,0.020767214060783638,0.006615353692620986
2014,著作权,0.012901632775415301,0.01755279397297726,0.004651161197561958
2014,醒目易识别,0.012580343743052395,0.016113792301321306,0.0035334485582689122
2014,品牌标识突出,0.012536366815309128,0.017070097222023812,0.004533730406714684
2014,发布权,0.012324191284877252,0.01679935882358481,0.0044751675387075555
2014,名片,0.011902060113811657,0.015618167218459765,0.0037161071046481085
2014,使用权,0.011841475797579295,0.01620532424732426,0.004363848449744964
2015,原创,0.036648394612769586,0.055203174639345445,0.018554780026575863
2015,知识产权,0.026694118853437997,0.040327632894643646,0.01363351404120565
2015,大气,0.02619566453587323,0.04007357574633441,0.01387791121046118
2015,简洁,0.023882150553582913,0.036486256299822155,0.01260410574623924
2015,视觉冲击力,0.01712793959195543,0.025659087612955718,0.008531148021000289
2015,LOGO设计,0.014456492458718401,0.02119718951776996,0.006740697059051558
2015,明快,0.014330609840511686,0.021618035020460617,0.007287425179948932
2015,电商网站,0.013184108722792381,0.01611764060359495,0.00293353188080257
2015,LOGO,0.010784107967154458,0.016125454151241995,0.005341346184087536
2015,著作权,0.009692272377915792,0.015200449934207569,0.005508177556291776
2015,品牌标识突出,0.009439008270773923,0.014051741594386503,0.00461273332361258
2015,醒目易识别,0.009297492539062712,0.013867370795396933,0.004569878256334221
2015,版权合规,0.008627194719616055,0.014633570682990756,0.006006375963374702
2015,使用权,0.008540390746427439,0.013001405764917106,0.004461015018489668
2015,发布权,0.008417576909984554,0.01283267494711701,0.004415098037132456
2016,企业官网,0.0371136599774946,0.05174049640779362,0.014626836430299025
2016,原创,0.012780939860424046,0.029126019270350547,0.0163450794099265
2016,大气,0.008425423505807059,0.01949798598752073,0.011072562481713672
2016,简洁,0.007079698785707193,0.01764780671411276,0.010568107928405568
2016,知识产权,0.00671263580693735,0.016197457029071872,0.009484821222134522
