Designer_ID,Year,Niche_Width,Resource_Volume,Total_Overlap,Mean_Overlap,Competitor_Count
07品牌策划,2021,7.438305997348745,2.0,915.9879386504305,0.2081317742900319,1344
1921设计,2021,7.438305997348745,1.0,915.9879386504305,0.2081317742900319,1344
1号品牌设计,2021,7.438305997348745,18.0,915.9879386504581,0.2081317742900382,1344
404创意设计,2021,7.542599417530399,3.0000000000000004,852.1833600669213,0.19363402864506277,1313
47号设计工作室,2021,7.370225416911756,5.0,891.9385032993985,0.20266723546907486,1420
53cp网络工作室,2021,6.205045700059401,1.9999999999999996,218.96803799718316,0.04975415541858286,454
7空设计,2021,5.024688559162604,1.0,28.63506525199204,0.0065064906275828305,38
96元创商业文案策划,2021,5.886777457508195,17.0,52.78009956862678,0.011992751549335783,199
@小杰设计,2021,3.2580965380214826,1.0,4.320026988220566,0.0009816012243173294,5
A+图纸深化设计,2021,5.1601131557387205,1.0,32.244526425875165,0.007326636315808944,54
AH商业空间设计,2021,5.024688559162604,1.0,28.63506525199204,0.0065064906275828305,38
Ann1Zz,2021,7.438305997348745,1.0,915.9879386504305,0.2081317742900319,1344
Appple777,2021,3.42942414620427,1.0,168.16389860689884,0.03821038368709358,695
Arousedfly工业设计工作室,2021,5.63966862179158,1.0,225.1283536641145,0.05115390903524529,754
B912984,2021,6.889098107827011,0.9999999999999999,559.7505031725279,0.12718711728528242,866
B913033,2021,5.648177867809126,1.0,108.96228355053242,0.024758528414117794,121
B913039,2021,4.577246510428228,0.9999999999999999,20.924483433308566,0.004754483852149186,23
B913047,2021,4.240958674012424,1.0,129.66966286426876,0.02946368163241735,135
B913054,2021,4.240958674012424,1.0,129.66966286426876,0.02946368163241735,135
B913060,2021,4.240958674012424,1.0,129.66966286426876,0.02946368163241735,135
B913095,2021,6.421370254776875,0.9999999999999998,587.0556430361152,0.1333914208216576,845
B913108,2021,6.421370254776875,0.9999999999999998,587.0556430361152,0.1333914208216576,845
B913138,2021,2.890371757896165,1.0,16.616196028810414,0.0037755501087958225,20
B913140,2021,2.890371757896165,1.0,16.616196028810414,0.0037755501087958225,20
