Source,Target,Type,EdgeType
o5ae67cbea6849,数据采集,发布,需求方-能力
UPUP,数据采集,完成,设计师-能力
大狸猫,数据采集,发布,需求方-能力
大葱店铺,数据采集,完成,设计师-能力
Mr186****8812,外观设计专利,发布,需求方-能力
o5a921c362ed02,外观设计专利,完成,设计师-能力
o5a9f748a1595e,公司注册,发布,需求方-能力
天山童姥来了,公司注册,完成,设计师-能力
topbird,商标注册,发布,需求方-能力
比柯思网络科技,商标注册,完成,设计师-能力
o5a753899a5c07,版权转让,发布,需求方-能力
QP2017,版权转让,完成,设计师-能力
o59ba3c8cb1a3a,网站UI设计,发布,需求方-能力
奥创设计 ARCANE DESIGN,网站UI设计,完成,设计师-能力
chendoyou,软件UI设计,发布,需求方-能力
小茜_lan,软件UI设计,完成,设计师-能力
o59ba3c8cb1a3a,产品原型设计,发布,需求方-能力
奥创设计 ARCANE DESIGN,产品原型设计,完成,设计师-能力
yundengshare,软件UI设计,发布,需求方-能力
Super设计,软件UI设计,完成,设计师-能力
艺思设计,网站UI设计,完成,设计师-能力
fskenny,网站UI设计,发布,需求方-能力
奕客设计,网站UI设计,完成,设计师-能力
o5b90dcdc3b2f3,软件UI设计,发布,需求方-能力
优忆设计,软件UI设计,完成,设计师-能力
wawa2018,网站UI设计,发布,需求方-能力
博能燃气sinopower,企业官网,发布,需求方-能力
倾城信网络科技有限公司,企业官网,完成,设计师-能力
cuidonglai,其他软件开发,发布,需求方-能力
爱创空间设计,其他软件开发,完成,设计师-能力
o5a4c914c0d5c6,APP开发,发布,需求方-能力
新才软件工作室,APP开发,完成,设计师-能力
o5a4c9e4e79753,APP开发,发布,需求方-能力
北京金砖科技,APP开发,完成,设计师-能力
mengxiang88,电商网站,发布,需求方-能力
微智科技,电商网站,完成,设计师-能力
liznzl,手游开发,发布,需求方-能力
潮人迅客,手游开发,完成,设计师-能力
o5a4de59d18723,企业官网,发布,需求方-能力
成都三晶科技有限公司,企业官网,完成,设计师-能力
mf133****8049,APP界面设计,发布,需求方-能力
