Source,Target,Type,EdgeType
knowledge:公司名称设计,knowledge:商贸公司,面向,知识-知识
knowledge:公司名称设计,knowledge:消费者,吸引,知识-知识
knowledge:公司名称设计,knowledge:外国人,适合,知识-知识
knowledge:公司名称设计,knowledge:富有时代感,风格,知识-知识
knowledge:公司名称设计,knowledge:简短明快,要求,知识-知识
knowledge:公司名称设计,knowledge:易于记忆,要求,知识-知识
knowledge:公司名称设计,knowledge:不与其他公司名称混淆,要求,知识-知识
knowledge:公司名称设计,knowledge:音,要求,知识-知识
knowledge:公司名称设计,knowledge:形,要求,知识-知识
knowledge:公司名称设计,knowledge:意的完美结合,要求,知识-知识
knowledge:投资公司名称,knowledge:大气,设计,知识-知识
knowledge:投资公司名称,knowledge:喜气,设计,知识-知识
knowledge:投资公司名称,knowledge:核名通过,设计要求,知识-知识
knowledge:投资公司名称,knowledge:北京注册,物理约束,知识-知识
knowledge:法律审核,knowledge:加盟合同,面向,知识-知识
knowledge:按结构草图设计,knowledge:公司官方网站首页,面向,知识-知识
knowledge:自由设计,knowledge:公司官方网站首页,面向,知识-知识
knowledge:公司LOGO,knowledge:公司官方网站首页,使用,知识-知识
knowledge:OAO概念LOGO,knowledge:公司官方网站首页,使用,知识-知识
knowledge:草图,knowledge:按结构草图设计,依据,知识-知识
knowledge:网站BANNER,knowledge:国际用户,面向,知识-知识
knowledge:国际商务网站,knowledge:网站BANNER,风格影响,知识-知识
knowledge:首页改版设计,knowledge:网站UI设计,面向,知识-知识
knowledge:网址导航的网站页面效果图,knowledge:页面简洁,设计,知识-知识
knowledge:网址导航的网站页面效果图,knowledge:风格清新,设计,知识-知识
knowledge:短一点网站,knowledge:网址导航的网站页面效果图,面向,知识-知识
knowledge:网址导航的网站页面效果图,knowledge:扁平化设计,采用,知识-知识
knowledge:网址导航的网站页面效果图,knowledge:设计,限制为,知识-知识
knowledge:网址导航的网站页面效果图,knowledge:无需提供PSD源文件,遵循,知识-知识
knowledge:页面重新设计,knowledge:手机端用户,面向,知识-知识
knowledge:主题重新设计,knowledge:CSS,需要,知识-知识
knowledge:APP界面设计,knowledge:翔图app,设计,知识-知识
knowledge:APP界面设计,knowledge:主页设计,包含,知识-知识
knowledge:APP界面设计,knowledge:分页设计,包含,知识-知识
