标题,标题链接,查看数,参与数,需求价格,状态,任务类型,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9,能力标签,交易价格1,需求价格备选,参与交稿,字段8_link,字段9_link,字段3,字段4,字段5,字段7,字段8,字段9,字段10,字段11,字段12,字段13,字段14,字段15,字段16,字段17,字段18,字段19,交易价格备选,设计师1,设计师2,设计师3,设计师4,设计师5,设计师6,设计师7,设计师8,设计师9,设计师10,字段6,需求者,赏金总额1,交易总�����额,年份
【数据采集】处理订单网站开发，数据处理,https://task.epwk.com/967065/,892人,4人,1000-3000元,圆满完成,招标,o617cf3eda8807,处理订单网站开发，数据入录和保存，具体详谈,2021-11-03,2021.11.08,任务编号：967065,1500.0,"2天,10天,10天","广东省-深圳市,河南省-洛阳市,山东省-枣庄市",深圳全栈开发工作室,https://shop.epwk.com/89dvgvy3kdl2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,数据采集,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【数据采集】请人做数据采集,https://task.epwk.com/963071/,9918人,1人,1000元以内,圆满完成,招标,水手20,因业务需要，我方拟请人通过网络采集整理客户的信息。一、具体要求如下：1、客户类型：定制家具的生产厂商2、客户所在地：加拿大安大略省（Ontario Canada) 3、收集到的信息填写在附件《厂商信息收集.xlsx》中提供给我方即可我方会提供一定的关键字提示信息，以助于乙方完成数据的收集，但是主要还是要靠乙方独立完成初步估计该省大概有400家左右符合条件的厂商（也就是说，大概会有400条左右的数据）二、对乙方的要求：1、较好的英文阅读能力；2、能够科学上网（因为需要用到Google搜索）；三、报价及费用计算方式：拟采用如下方式报价及计算费用：1、报价：由于初期不知道最终会收集到多少条信息，故请乙方不要报此项工作的总价，而是报收集到的每条信息的单价，即 a 元/条，并提供预计完成时间（就是说乙方提出一个具体的 a 的值作为报价，并提出预计完成时间）；2、将按照如下公式计算最终的费用：最终费用=a 元/条x 收集到的信息总条数 - a 元/条x 收集到的错误信息的总条数 x 1.2 - a 元/条x 遗漏信息的总条数 x 0.2其中“收集到的错误信息的总条数”及“遗漏信息的总条数”由甲方在验收时给出有关的证据后确定；注：如果某条数据的部分字段（例如联系人姓名、电话号码等）的信息乙方未收集到，除非甲方能够证明这些信息的确是可以从网络搜索到的，否则这些字段就被视为正常无法获取的信息，那么本条数据仍然计为合格数据；四、费用支付方式：合同签署后甲方支付250元，乙双方支付50元到平台作为保证金以表达诚意（若后续任何一方失信，失信方缴纳到平台的费用即作为给对方的赔偿），然后乙方开始工作，工作完成后乙方告诉甲方收集到的信息的总条数，然后甲方追加支付一些费用到平台，使得总支付费用（含之前已经支付的250元）= a 元/条x 收集到的信息总条数，然后乙方把收集到的全部数据提供给甲方验收，按照前面所说的计费方式计算最终费用后甲方按多还少补的原则向平台缴纳或领回差额，最后乙方与平台做结算并领回保证金和项目费用。有关实施由平台监管落实。五、若双方此次能够顺利愉快地合作，后续可能会把此工作扩大到加拿大的其它省份及美国各州。六、若有疑问请加微信做进一步的沟通。七、以上，谢谢！,2021-10-26,2021.12.24,任务编号：963071,200.0,7天,广西-南宁市,广西顺隽信息工程有限责任公司,https://shop.epwk.com/0z5o4x1x7njq/,广西顺隽信息工程有限责任公司,出售服务,https://shop.epwk.com/0z5o4x1x7njq/chushou/,企业,九品,42分,,,广西顺隽信息工程有限责任公司,,PC端程序逆向开发,价格面议,小程序定制开发,价格面议,App定制开发,价格面议,,,,,,,,,,,,,数据采集,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【数据处理】以一个字段为id向一个数据库的字段里的空值插入数据,https://task.epwk.com/972472/,2980人,1人,¥400,圆满完成,雇佣,优觅K1mu5,用导出的数据，以一个字段为id向一个数据库的字段里的空值插入数据， 和以一个字段为id 修改一个字段下的值为0，内网需要指导完成，你给语句我实施,2021-12-01,2021.12.10,任务编号：972472,400.0,1天,江苏省-南京市,南京领尚信息科技有限公司,https://shop.epwk.com/j7n38qml35e1/,南京领尚信息科技有限公司,出售服务,https://shop.epwk.com/j7n38qml35e1/chushou/,企业,四品,114分,,,南京领尚信息科技有限公司,,,,,,,,,,,,,,,,,,,,数据处理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【数据采集】百度爱采购商家信息采集,https://task.epwk.com/951510/,1842人,2人,¥1500,圆满完成,雇佣,o60959bf885035,百度爱采购商家信息采集，需要电话号码，区域，关键词筛选的等公开信息,2021-08-23,2021.09.24,任务编号：951510,1500.0,"5天,14天","北京市-北京市-房山区,广东省-深圳市",北京万比邻科技,https://shop.epwk.com/89dvgxv0kdl2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,数据采集,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【数据采集】网站采集整理数据,https://task.epwk.com/927793/,5295人,2人,¥5000,圆满完成,雇佣,o58a84c4386f4e,采集目标为中国商标网，有防采集机制，有采集经验或者相关技术能力的接任务，具体的详细信息请联系QQ或者微信了解，,2021-04-03,2021.07.02,任务编号：927793,5000.0,"20天,7天","山东省-临沂市-兰山区,河北省-石家庄市-裕华区",微企邦网络科技,https://shop.epwk.com/89dvgvk24dl2/,微企邦网络科技,出售服务,https://shop.epwk.com/89dvgvk24dl2/chushou/,企业,五品,37分,,,微企邦网络科技,,,,,,,,,,,,,,,,,,,,数据采集,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【数据采集】自动抓取网页开奖数据,https://task.epwk.com/921567/,3065人,3人,¥1000,圆满完成,雇佣,o60389e9e4659e,项目:自动抓取网页开奖数据称呼:黄先生地区:不限需求:自动抓取网页开奖数据，保存到txt，保存最新的1000期数据就可以了，超过1000期，就删掉多余的期数,2021-03-01,2021.03.07,任务编号：921567,1000.0,"5天,1天","四川省-成都市-青羊区,湖北省-武汉市-青山区",蓬方洲软件开发工作室,https://shop.epwk.com/9w56eql87dv1/,蓬方洲软件开发工作室,出售服务,https://shop.epwk.com/9w56eql87dv1/chushou/,工作室,七品,36分,,,蓬方洲软件开发工作室,,,,,,,,,,,,,,,,,,,,数据采集,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【网站UI设计】对一个现有界面的美化，已标注,https://task.epwk.com/928369/,3266人,5人,¥500,圆满完成,,zhuisulogo,现有的网页设计图大框架已定，色调需要设计师来修改一下，个别元素再优化完善设计，9处内容已在压缩包的图片里标注了解压   密：12345678,2021-04-07,2021.05.07,任务编号：928369,500.0,,,广州柏森体验设计咨询服务有限公司,,,电商网站-门户网站-企业网站建设,,企业,七品,40分,,,,"￥100
            /起",,,,,,,,,,,,,,,,,,,网站UI设计,,,7.0,https://shop.epwk.com/2j5xog0e95xm/,https://shop.epwk.com/2j5xog0e95xm/chushou/,APP界面UI设计,"￥100
            /起",PAD端OA系统设计,"￥1000
            /套",小程序设计开发,"￥1000
            /套",台历设计制作,"￥15
            /套",,,,,,,,,,,,,,,,,,,,,,,,2021
【小程序开发】微信小程序起名,https://task.epwk.com/924078/,4586人,69人,¥100,圆满完成,,cyk12345,社交平台，组织年轻人线下活动，不涉及相亲的,2021-03-14,2021.04.12,任务编号：924078,100.0,,,云影碧落,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,小程序开发,,,77.0,https://shop.epwk.com/89dvgxp8zdl2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【小程序开发】艺术类在线培训系统开发,https://task.epwk.com/977053/,596人,1人,2万-5万元,圆满完成,,o5fba71af10ebf,线上教育系统，支持直播，录播课程，白板功能，转发分享，,2021-12-30,2021.12.30,任务编号：977053,39000.0,90天,湖南省-长沙市-岳麓区,湖南三行云智信息科技有限公司,https://shop.epwk.com/89dvgg2p4dl2/,湖南三行云智信息科技有限公司,出售服务,https://shop.epwk.com/89dvgg2p4dl2/chushou/,企业,一品,53分,总 128 次中标，交易总金额,￥402.04万,湖南三行云智信息科技有限公司,,区块链DAPP开发,"￥9999
            /起",企业网站定制开发,"￥2000
            /起",金融类APP订制开发,"￥50000
            /起",APP个性订制开发,"￥50000
            /起",医疗类 微信/APP 开发,"￥20000
            /起",三级分销-微信商城(接入微信支付/多方快递系统),"￥20000
            /套",B2B电商平台,"￥50000
            /套",读书公众号,"￥2000
            /套",VIS品牌形象设计,"￥2000
            /起",小程序开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【其他软件开发】一体化电商平台-质保,https://task.epwk.com/976842/,462人,1人,1万-2万元,圆满完成,,o5fba71af10ebf,项目后续维护，已线下谈好质保承接单位，首款,2021-12-29,2021.12.29,任务编号：976842,10000.0,365天,湖南省-长沙市-岳麓区,湖南三行云智信息科技有限公司,https://shop.epwk.com/89dvgg2p4dl2/,湖南三行云智信息科技有限公司,出售服务,https://shop.epwk.com/89dvgg2p4dl2/chushou/,企业,一品,53分,总 128 次中标，交易总金额,￥402.04万,湖南三行云智信息科技有限公司,,区块链DAPP开发,"￥9999
            /起",企业网站定制开发,"￥2000
            /起",金融类APP订制开发,"￥50000
            /起",APP个性订制开发,"￥50000
            /起",医疗类 微信/APP 开发,"￥20000
            /起",三级分销-微信商城(接入微信支付/多方快递系统),"￥20000
            /套",B2B电商平台,"￥50000
            /套",读书公众号,"￥2000
            /套",VIS品牌形象设计,"￥2000
            /起",其他软件开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【脚本开发】需要采集前端数据,https://task.epwk.com/976771/,2231人,4人,1000元以内,圆满完成,,uuufz,需要 把网站前端点赞数超过5000的搞出来,2021-12-28,2022.01.04,任务编号：976771,600.0,"1天,10天,5天","山东省-济南市-历城区,云南省-昆明市-官渡区,北京市-北京市",十度空间工作室,https://shop.epwk.com/2j5jj797z5pz/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,脚本开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【APP开发】机顶盒安卓app开发,https://task.epwk.com/976758/,795人,1人,5000-10000元,圆满完成,,a8182****a,安卓机顶盒app开发，技术到位的来交流下。,2021-12-28,2022.02.10,任务编号：976758,6500.0,6天,广东省-深圳市-龙岗区,深圳超位运算,https://shop.epwk.com/78n962zjonkv/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APP开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【电商网站】ERP微信小程序化开发,https://task.epwk.com/976680/,2911人,7人,5000-10000元,圆满完成,,专客n1ipZ,在基础商城版上要增加几个功能1.产品能够批量上架，批量下架，2.上架时图片做成非必填项。3.不需要在小程序端支付，小程序下单之后，后台显示待确认，确认以后，变成待付款状态，后台人员把该订单扭转到待发货时，需要增加一个上传已支付凭证，该凭证为必填项的按钮，待发货状态要扭转到已完成状态时，需要增加一个上传已到货的凭证，也为必填项。4.在小程序下的单子，管理员能在小程序上面直接看到该订单的下单详情，例如，产品名称，下单数量，销售价，成本价，折扣，佣金额。5.所有订单后台都能按时间段进行导出，导出的数据需要自动计算毛利额，净利额，毛利率，净利率。,2021-12-28,2022.03.01,任务编号：976680,8500.0,"30天,25天,30天,20天,30天","河南省-洛阳市,上海市-市辖区-黄浦区,河南省-郑州市-市辖区,江苏省-徐州市-贾汪区,山东省-枣庄市",洛阳蓝普网络技术有限公司,https://shop.epwk.com/v0n1x1mq257y/,洛阳蓝普网络技术有限公司,出售服务,https://shop.epwk.com/v0n1x1mq257y/chushou/,企业,一品,105分,总 388 次中标，交易总金额,￥199.47万,洛阳蓝普网络技术有限公司,,php项目定制开发,￥1000,微信小程序定制开发,"￥1000
            /件",,,,,,,,,,,,,,,电商网站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
【网站二次开发】crm系统添加功能短信接口对接,https://task.epwk.com/976528/,1636人,2人,1000-3000元,圆满完成,,V动力uqJdG,短信功能的接口对接阿里云的接口对接,2021-12-27,2022.01.07,任务编号：976528,800.0,"4天,1天","河北省-邯郸市,河南省-洛阳市",毛利网络,https://shop.epwk.com/7lngqgqe3dmr/,毛利网络,出售服务,https://shop.epwk.com/7lngqgqe3dmr/chushou/,企业,四品,66分,总 4 次中标，交易总金额,￥2.2万,毛利网络,,网站设计开发,"￥2000
            /起",微信开发小程序开发公众号开发H5开发,"￥2000
            /起",APP开发安卓开发 iOS开发,"￥2000
            /起",,,,,,,,,,,,,网站二次开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
