标题,查看数,参与数,需求价格,状态,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,参与交稿,设计师,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9
【广告策划】衬衫定制品牌征集广告语,7665人,121人,¥500,圆满完成,奕寸定制,品牌介绍:1、品牌名:“奕寸”2、产品:提供上门量身定制服务的纯棉免烫衬衫（尺寸、面料、版型都能完全满足客户需求）广告语要求:1、要强调量身定制为客户带来的好处2、广告语要反映出品牌卖的是什么——量体裁衣的衬衫3、口语化，能让客户主动说给别人听的，但不粗俗4、让客户留下深刻印象，产生购买冲动5、广告语中融入品牌名，可谐音（非必须，但作为重要考评指标）,2018.01.07,2018.01.26,任务编号：570880,￥ 500,,o5a4b24114d66d,,,,,,,,,,,,,,,,,,,,,,,
【宝宝起名】男宝宝起名,6266人,119人,¥100,圆满完成,o5a517860ebe16,姓氏：李，性别：男，日期：2018年1月3日08时02分，宝爸属虎，宝妈属虎，要求：名字根据八字、五行、周易分析，最好带有“晨”字李晨“*”，李“*”晨均可，寓意方向:努力奋斗。起名请给出详细解释。,2018.01.07,2018.01.22,任务编号：570900,￥ 100,,文案服务,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】生态酒取名,5811人,138人,¥100,圆满完成,yangduan,生态酒 是一种配置酒，由苞谷经固态发酵成纯粮酒，经过窖藏再与桑葚，红枣，枸杞，杨梅配置而成。（注：生态酒产地：湖北省宜昌市宜都市十里沟，所处的位置在长江与清江交界处）闻起来有淡香，喝起来比较口感柔和，比较容易下口，几杯下肚感觉不大，跟喝水一样，但等酒劲起来，人已醉了，千真万确，已有多人中招。,2018.01.06,2018.02.08,任务编号：570783,￥ 100,,哈宁打卡,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】教育平台取名,6284人,105人,¥168,圆满完成,o5a505ee4b3e1c,平台取名，为一关注青少年成长、心理健康康的教育平台取名，要求文字简洁明了、寓意积极阳光，读音朗朗上口。,2018.01.06,2018.01.27,任务编号：570713,￥ 168,,远望镜界,个人,七品,36分,,,,,,,,,,,,,,,,,,,,
【品牌起名】食品品牌起名 小清新风格的名称,10121人,183人,¥320,圆满完成,taowuming,"经营介绍： 主要经营各类型休闲零食，想起一个可以引起怀旧风格的小清新风格的名字  比如：十四行诗，三年二班，忆青春，那年十八岁等等类型的产品主要三类：1、饼干糕点2、坚果蜜饯要求：1、名称响亮，易记，引起怀旧风格的小清新风格的名字  比如：十四行诗，三年二班，忆青春，那年十八岁等等类型的2、最好有中、英文两种名称，并可注册商标3、附上创意说明。知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2018.01.06,2018.09.01,任务编号：570696,￥ 320,,无双51——品牌服务直通车,,,,,,,,,,,,,,,,,,,,,,,
【广告策划】品牌广告语策划征集,13834人,194人,¥220,圆满完成,o5a503ee93d8f0,我司为安迪石英石生产公司，现在需要一个广告语，如安迪英石，让生活更美好；安迪英石，让装饰更美丽。力求简洁，明了，易懂，朗朗上口。附上创意说明。公司简介：1.我司安迪石英石经真空高压形成极其紧密的超硬环保石英石板材，具有表里如一、致密无孔的特点，抗腐蚀，耐高温，完全阻燃。2.我司的石英石呈现出纹理自然高贵、色彩明亮舒适的丰富内涵，并且又能人为设计，广泛适用于人流密集公共空间，更能应用现代家居场所，是现代健康生活首选石材。,2018.01.06,2018.02.11,任务编号：570692,￥ 220,,柒旅设计,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】名词翻译,1807人,72人,¥300,圆满完成,mf136****9966,中文名：“亦琳”，翻译成英文要简短，并有意义，用于商标注册,2018.01.06,2018.12.07,任务编号：570673,￥ 300,,鹿宝宝,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】净水器直饮机品牌起名,4651人,83人,¥300,圆满完成,o5a4f24b25a14d,"要求：1、名称通俗易记，有创意，汉意，或者英文风格都可以（汉意类似源、净、泉，英文类似沃克、沃顿、科沃）2、请自行查询商标局网站http://sbcx.saic.gov.cn/trade，确认可注册商标3、利于传播，琅琅上口，一看就记住，但千万别俗不可耐4、通过商标名称，尽量的体现出公司产品的对家庭生活所达到的温馨、舒适、高雅、健康。5、请隐藏商标，不得于网上公开，否则不予评选。知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2018.01.06,2018.01.16,任务编号：570650,￥ 300,,o5a4f347a1ab96,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】为平台取名（二个字、三个字、四个字都行）,12648人,163人,¥600,圆满完成,微品丝路,一、平台属性：面对母婴门店、微商、想创业的用户等提供的电商平台（移动互联网或者是互联网）或轻创业平台。二、该平台核心功能：1.开设个人微商城（一键开店、一键分销产品、一键分享商品图文介绍页面等）2.提供产品营销推广资料（包含商品图片、商品视频、推广文案等）三、平台商品货源定位：国外品牌的跨境进口商品（母婴用品、美妆个护、营养保健）四、截止时间：2018年1月8日上午12时平台选名思考维度：1.信任感：跨境商城平台，为小B端营造货源有保障的信任感和安全感。2.品牌感：便于后期品牌整体形象VI设计，为VI设计的协调性、品质性打好基础。3.行业相关性：能够体现平台属性、定位及用途——海外跨境分销平台。4.趣味性：风格年轻化、个性化，具备互联网趣味性、传播性。5.独特性：品牌名称等具备一定识别度避免同质化套路化，在口语传播和互联网搜索时不容易产生雷同或误解6.记忆性：品牌名称郎朗上口，品牌名称有故事性，便于记忆。7.延展性：品类、业务全面化不局限可延展。8.兼容性：便于品牌的英文取名，以及域名申请等。,2018.01.04,2018.01.15,任务编号：570183,￥ 600,,mf13720823734,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】鞋子品牌起名,5551人,134人,¥300,圆满完成,o5a4ce6c49b404,"2.起名模板 标题：鞋子品牌起名 公司简介：我们是做鞋子的，简单容易好记，要通过商标注册  要求：1.名称响亮，易记，朗朗上口2.附上创意说明知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2018.01.04,2018.01.27,任务编号：570091,￥ 300,,顽家,,,,,,,,,,,,,,,,,,,,,,,
