标题,标题链接,查看数,参与数,需求价格,状态,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,参与交稿,设计师,字段8_link,字段9_link,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,字段1,字段2,字段3,字段4,字段5,字段7,字段8,字段9,字段10,字段11,字段12,字段13,字段14,字段15,字段16,字段17,字段18,字段19,能力标签
【图片处理】简单PS图片处理,https://task.epwk.com/380371/,14091人,60人,¥100,圆满完成,mf54144ea45762d,"要求：图片大小宽X高：1200 X 260将附件图片元素(1、2、3任选一份, 责任关怀Logo必选）P到图中色调： 天蓝 或者 草绿 交付：效果图、PSD 图",2015-09-18,2015.09.25,任务编号：380371,100.0,68.0,凡美广告有限公司,https://shop.epwk.com/m7d7w82wk5q8/,https://shop.epwk.com/m7d7w82wk5q8/chushou/,企业,四品,40分,,,高端画册设计,"￥288
            /次",高端海报设计,"￥188
            /次",高端企业VI设计,"￥1888
            /次",高端国际化LOGO/商标设计,"￥488
            /次",,,,,,,,,,,图片处理
【配音配乐】主题为消防的原创歌曲,https://task.epwk.com/375223/,10356人,17人,¥100,圆满完成,mf187****8717,为即将开始的“11.9”晚会服务。2015年是国内多难频发的一年。无论是抢险救援、抗震救灾、还是火灾、爆炸，哪里最危险哪里就有消防战士的身影。他们不计报酬、不怕危险，以人民群众的生命安全和财产安全为己任，时刻冲锋在危难的最前线。他们是和平年代的守护神，是我们最可爱的人！特寻求原创歌词一份，请大家集思广益，也算为消防事业贡献您的力量了！,2015-08-25,2015.12.05,任务编号：375223,100.0,17.0,seeking sky,https://shop.epwk.com/0jnekovr4nv3/,https://shop.epwk.com/0jnekovr4nv3/chushou/,工作室,九品,37分,,,,,,,,,,,,,,,,,,,,,配音配乐
【图片处理】照片变卡通形象,https://task.epwk.com/346293/,13514人,14人,¥170,圆满完成,o552e3d91bcdf0,把合影上的人物 变成卡通形象 原图文字可以去掉  把下图两个logo 放在合影这张图上),2015-04-15,2015.05.18,任务编号：346293,170.0,18.0,林中小屋,https://shop.epwk.com/j7n3832gl5e1/,https://shop.epwk.com/j7n3832gl5e1/chushou/,个人,九品,38分,,,手绘头像,价格面议,,,,,,,,,,,,,,,,,图片处理
【图片处理】老身份证照片处理,https://task.epwk.com/344762/,11900人,10人,¥300,圆满完成,mf136****9199,3张1988年的老身份证照片，黑白的，需要做美化处理及放大。其中1张照片需要放大至20寸，另两张放大至6寸即可。确认任务以后，通过邮件或其他方式传送图片，任务完成后需要提供PSD格式文件或经本人认可的其他矢量格式文件。,2015-04-09,2015.04.26,任务编号：344762,300.0,11.0,老照片修复,https://shop.epwk.com/2j5xo302x5xm/,https://shop.epwk.com/2j5xo302x5xm/chushou/,个人,九品,37分,,,,,,,,,,,,,,,,,,,,,图片处理
【图片处理】照片加工,https://task.epwk.com/329369/,8004人,21人,¥100,圆满完成,mf135****0858,照片加工，将原稿的照片更换成附件中“衣服1”或者“衣服2、3”的衣服，并且去掉脸部光影。照片尽量精细！！,2015-01-22,2015.05.04,任务编号：329369,100.0,22.0,老照片修复,https://shop.epwk.com/2j5xo302x5xm/,https://shop.epwk.com/2j5xo302x5xm/chushou/,个人,九品,37分,,,,,,,,,,,,,,,,,,,,,图片处理
【图片处理】根据人物照片设计小财神的卡通形象,https://task.epwk.com/325858/,15075人,21人,¥666,圆满完成,没事儿9191,根据附件中的人物照片设计出靠近附件中财神的卡通形象。卡通人物要看着活泼点 有活力一点的！,2015-01-05,2015.02.05,任务编号：325858,666.0,22.0,MAX極製设计,https://shop.epwk.com/0jnekozrjnv3/,https://shop.epwk.com/0jnekozrjnv3/chushou/,个人,七品,40分,,,基础VI设计,价格面议,视频动漫制作,价格面议,logo设计,价格面议,,,,,,,,,,,,,图片处理
【配音配乐】写抒情歌歌词（无曲谱，创作方式自由）,https://task.epwk.com/309454/,14473人,23人,¥100,圆满完成,境界创作,本人业余从事歌词创作，现想写一首抒情歌曲，这几天苦于灵感顿失，故发布任务，希望借助各位大神的智慧和灵感，为本人的创作提供启发和思考。歌词要求如下：1.歌词类型属于抒情歌曲，暂时未有现成曲谱，体例和创作方式可自由发挥2.跟雨、思念、青春回忆有关，整个歌词富有诗意、能让人推敲回味3.适合通俗唱法和女歌手，整个歌的基调可参考《夜夜夜夜》、《可惜不是你》这种类型，看似淡淡却又深深的感伤4.高潮明显，激发共鸣5.歌曲不需要取名，只要歌词正文6.才华横溢的威客请在10月9日18:00前投稿为宜。,2014-10-09,2014.10.26,任务编号：309454,100.0,24.0,上海铭初文化传播有限公司,https://shop.epwk.com/7lngq8818dmr/,,,,,,,,,,,,,,,,,,,,,,,,,配音配乐
【图片处理】毕业证扫描件PS修图,https://task.epwk.com/307528/,15781人,21人,¥300,圆满完成,oXToto,毕业证名字修改 具体要求QQ联系,2014-09-24,2014.10.01,任务编号：307528,300.0,21.0,云想创意,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,图片处理
【图片处理】手机网站上产品宣传图制作及简单LOGO设计,https://task.epwk.com/298515/,5643人,3人,¥300,圆满完成,julianyoung,手机网站上产品宣传图设计，已有参考图片，请人进行加工和美化设计。另需设计一个简单的手机LOGO，颜色基调为草绿色，要求简洁、醒目，高大上，自由发挥。要求矢量图。  具体要求见附件,2014-08-04,2014.08.22,任务编号：298515,300.0,3.0,崇偲Vastyleism,https://shop.epwk.com/z2nkzxxvpnqy/,,,,,,,,,,,,,,,,,,,,,,,,,图片处理
【FLASH制作】企业网站动画片头设计,https://task.epwk.com/256215/,5345人,9人,¥300,圆满完成,o531a71b46d43a,要求长度在15秒左右，播放完直接跳转至公司简介页面。素材及文字参考公司网站www.jmcy.comflash规格为：1024*475 qq:314108,2014-04-14,2014.05.25,任务编号：256215,300.0,9.0,环岛影视制作,https://shop.epwk.com/omdwk0kgrdrp/,https://shop.epwk.com/omdwk0kgrdrp/chushou/,企业,九品,36分,,,,,,,,,,,,,,,,,,,,,FLASH制作
