标题,标题链接,查看数,参与数,价格,状态,当前网页URL,详情标题,字段1,字段2,字段3,原文件名,Unnamed: 12,Unnamed: 13,Unnamed: 14,知识
【LOGO设计】【久铭乐】商标、网站、企业商业餐饮品牌门店公司logo设计,https://task.epwk.com/698621/,228人,1人,"¥24,900",圆满完成,https://task.epwk.com/page1237.html?m=6&o=7,【久铭乐】商标、网站、企业商业餐饮品牌门店公司logo设计,直接雇佣￥ 24900,￥ 24900,任务编号：698621,1196-1414.csv,,2019.0,,"商标, 企业品牌, 餐饮品牌, 公司logo设计"
【APP开发】社交App,https://task.epwk.com/698632/,234人,1人,"¥21,500",圆满完成,https://task.epwk.com/page1237.html?m=6&o=7,社交App,直接雇佣￥ 21500,￥ 21500,任务编号：698632,1196-1414.csv,,,,"社交, App"
【LOGO设计】房地产项目提报,https://task.epwk.com/698634/,510人,1人,"¥30,000",圆满完成,https://task.epwk.com/page1237.html?m=6&o=7,房地产项目提报,直接雇佣￥ 30000,￥ 30000,任务编号：698634,1196-1414.csv,,,,"房地产项目, 提报"
【LOGO设计】房地产项目提报,https://task.epwk.com/698635/,179人,1人,"¥20,000",圆满完成,https://task.epwk.com/page1237.html?m=6&o=7,房地产项目提报,直接雇佣￥ 20000,￥ 20000,任务编号：698635,1196-1414.csv,,,,"房地产项目, 提报"
企业宣传画册设计,https://task.epwk.com/698636/,211人,1人,"¥28,210",圆满完成,https://task.epwk.com/page1237.html?m=6&o=7,企业宣传画册设计,直接雇佣￥ 28210,￥ 28210,任务编号：698636,1196-1414.csv,,,,"企业宣传, 画册设计"
【金融】金融软件开发4期,https://task.epwk.com/698651/,333人,1人,"¥30,000",圆满完成,https://task.epwk.com/page1237.html?m=6&o=7,金融软件开发4期,直接雇佣￥ 30000,￥ 30000,任务编号：698651,1196-1414.csv,,,,"金融软件, 软件开发"
【小程序开发】帮忙弄一个QML内嵌视频网页的Demo,https://task.epwk.com/698653/,249人,1人,"¥1,960",圆满完成,https://task.epwk.com/page1237.html?m=6&o=7,帮忙弄一个QML内嵌视频网页的Demo,直接雇佣￥ 1960,￥ 1960,任务编号：698653,1196-1414.csv,,,,"QML, 视频网页, Demo"
【H5开发】前端签到页面开发,https://task.epwk.com/698655/,2188人,1人,"¥1,970",圆满完成,https://task.epwk.com/page1237.html?m=6&o=7,前端签到页面开发,直接雇佣￥ 1970,￥ 1970,任务编号：698655,1196-1414.csv,,,,"前端, 签到页面, 开发"
【其他宣传品设计】公司年夜饭预订优惠宣传设计,https://task.epwk.com/698656/,379人,1人,"¥1,940",圆满完成,https://task.epwk.com/page1237.html?m=6&o=7,公司年夜饭预订优惠宣传设计,直接雇佣￥ 1940,￥ 1940,任务编号：698656,1196-1414.csv,,,,"年夜饭, 预订优惠, 宣传设计"
【LOGO设计】标志设计,https://task.epwk.com/698677/,252人,1人,"¥3,636",圆满完成,https://task.epwk.com/page1237.html?m=6&o=7,标志设计,直接雇佣￥ 3636,￥ 3636,任务编号：698677,1196-1414.csv,,,,标志设计
【企业官网】房产信息展示网站开发,https://task.epwk.com/698691/,323人,1人,"¥8,000",圆满完成,https://task.epwk.com/page1237.html?m=6&o=7,房产信息展示网站开发,直接雇佣￥ 8000,￥ 8000,任务编号：698691,1196-1414.csv,,,,"房产信息, 网站开发"
【LOGO设计】餐饮VI设计,https://task.epwk.com/698695/,171人,1人,"¥10,000",圆满完成,https://task.epwk.com/page1237.html?m=6&o=7,餐饮VI设计,直接雇佣￥ 10000,￥ 10000,任务编号：698695,1196-1414.csv,,,,餐饮VI设计
【产品原型设计】建设管理系统需求分析，原型设计,https://task.epwk.com/698697/,800人,1人,"¥20,000",圆满完成,https://task.epwk.com/page1237.html?m=6&o=7,建设管理系统需求分析，原型设计,直接雇佣￥ 20000,￥ 20000,任务编号：698697,1196-1414.csv,,,,"建设管理系统, 需求分析, 原型设计"
【VI设计】餐饮VI设计（补充费用）,https://task.epwk.com/698700/,1076人,1人,"¥1,000",圆满完成,https://task.epwk.com/page1237.html?m=6&o=7,餐饮VI设计（补充费用）,直接雇佣￥ 1000,￥ 1000,任务编号：698700,1196-1414.csv,,,,"餐饮VI设计, 补充费用"
