标题,标题链接,查看数,参与数,需求价格,状态,任务类型,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9,能力标签,交易价格1,需求价格备选,参与交稿,字段8_link,字段9_link,字段3,字段4,字段5,字段7,字段8,字段9,字段10,字段11,字段12,字段13,字段14,字段15,字段16,字段17,字段18,字段19,交易价格备选,设计师1,设计师2,设计师3,设计师4,设计师5,设计师6,设计师7,设计师8,设计师9,设计师10,字段6,需求者,赏金总额1,交易总�����额,年份
【图像识别】如何在软件里快速找到在粗红线上下两格呈一字走向的图形,https://task.epwk.com/1098661/,421人,1人,5000-10000元,圆满完成,招标,企特约AWhiT,如何在软件里快速找到在粗红线上下两格呈一字走向的图形，具体详谈,2024-12-08,2025.04.07,任务编号：1098661,5000.0,5天,云南省-昆明市-市辖区,云南南强信息,https://shop.epwk.com/3gd2mvgepner/,云南南强信息,出售服务,https://shop.epwk.com/3gd2mvgepner/chushou/,企业,四品,53分,总 8 次中标，交易总金额,￥6.54万,云南南强信息,,企业微信应用,"￥10000
            /件",天勤量化平台（国内期货、期权、股票）,"￥3000
            /起",人工智能模型训练、部署,"￥50000
            /件",CTP国内期货、期权自动化交易策略定制,"￥3000
            /起",讯投QMT量化交易策略开发,"￥3000
            /起",微信应用DIY,"￥10000
            /件",自动化浏览器采集器,"￥3000
            /起",,,,,图像识别,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
【数据分析】用SQL写历法计算,https://task.epwk.com/1097312/,219人,1人,5000-10000元,圆满完成,招标,维联创vfAxr,"任务，计算真太阳方位角和月亮方位角。费用1.2万元。其中，太阳方位角5千，月亮方位角5千，2千元服务费。1.计算太阳方位角，描述概念：太阳方位角是太阳与地平线的夹角-简称太阳角度。是在地球某一点观测地，太阳从东边升起到西边降落，再从地下回到东边升起一圈360度。太阳东升与地平线夹角是0度，中天是正头顶与地面90度，西落与地平线夹角是180度，半夜与地面是270度，到第二天地平线是360度。要求：根据已知的北京时间，和观测地的经纬度，计算太阳绕观测地一圈，任意时间的太阳角度，或者说任意时间和太阳角度一一对应关系的数据。计算结果与已知的寿星天文历的几个结果（天亮,日出,中天,日落,天黑）一样。2.计算月亮方位角描述概念：月亮方位角是月亮与地平线的夹角-简称月亮角度。是在地球某一点观测地，月亮从东边升起到西边降落，再从地下回到东边升起一圈360度。月亮东升与地平线夹角是0度，中天是正头顶与地面90度，西落与地平线夹角是180度，半夜与地面是270度，到第二天地平线是360度。要求：根据已知的北京时间，和观测地的经纬度，计算月亮绕观测地一圈，任意时间的月亮角度，或者说任意时间和月亮角度的一一对应关系的数据。计算结果与已知的寿星天文历的几个结果（月出,月落,月中）一样。3.计算要求：可以修改观测地的经纬度。把寿星天文历的计算方法和公式，改成用SQL程序把计算过程写出来，计算结果正确，能在SQLserverR2的数据库运行。对SQL程序要求：书面说明SQL程序流程，每一段程序的功能和作用，注释清楚。(写成过程语句，有难度不写也行)把程序介绍清楚，听明白为止，验收合格付款。4.计算结果存放在SQLserver数据库的表中的三个字段里，字段1名称--北京时间，字段2名称--太阳角度，字段3名称--月亮角度其他字段？--计算过程中需要的存放其他数据的字段。寿星天文历上面的数据也存放在一张如下表中，字段1名称-日期，字段2名称-日出，字段3名称-日落，字段4名称-中天，字段5名称-月出，字段6名称-月落，字段7名称-月中，字段8名称-天亮，字段9名称-天黑。（日照时间和白天时间有了更好好，没有也行，每天一条记录）5.付款方式付款分三段托管支付，真太阳角度完成付款5000元。月亮角度完成付款5000元。使用2-3周（最多三周），没有问题，支付2000元售后服务费。6.未尽事宜协商解决。（很对不起，任务号1095753发布了历法计算，有对发布内容不清楚进行咨询，我不会修改发布内容，就把修改后内容重新发布。谢谢！）",2024-11-21,2024.11.30,任务编号：1097312,5000.0,20天,北京市-北京市,索源科技,https://shop.epwk.com/j7n38jope5e1/,索源科技,出售服务,https://shop.epwk.com/j7n38jope5e1/chushou/,企业,三品,61分,总 7 次中标，交易总金额,￥6.68万,索源科技,,大语言模型相关,"￥1000
            /次",AIGC/生成式AI,"￥1000
            /次",机器视觉相关,"￥1000
            /次",声音处理相关,"￥1000
            /次",,,,,,,,,,,数据分析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
【机器学习】机器学习模型使用和接口封装开发,https://task.epwk.com/1095071/,387人,1人,5000-10000元,圆满完成,招标,威创享sMGiG,开发一些业务模型，需要用到一些机器学习算法库的使用、接口封装和测试，整体难度不大，交付周期有要求，适合时间充裕的伙伴。,2024-10-27,2025.01.22,任务编号：1095071,5000.0,45天,北京市-北京市,索源科技,https://shop.epwk.com/j7n38jope5e1/,索源科技,出售服务,https://shop.epwk.com/j7n38jope5e1/chushou/,企业,三品,61分,总 7 次中标，交易总金额,￥6.68万,索源科技,,大语言模型相关,"￥1000
            /次",AIGC/生成式AI,"￥1000
            /次",机器视觉相关,"￥1000
            /次",声音处理相关,"￥1000
            /次",,,,,,,,,,,机器学习,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
【图像识别】教室人数统计人头计数,https://task.epwk.com/1076027/,1610人,2人,5000-10000元,圆满完成,招标,一V渡江vtjlP,教室人数统计人头计数,2024-04-02,2024.05.11,任务编号：1076027,6000.0,14天,江苏省-无锡市,华极科技,https://shop.epwk.com/zqdplgz06n1v/,华极科技,出售服务,https://shop.epwk.com/zqdplgz06n1v/chushou/,企业,六品,37分,,,华极科技,,,,,,,,,,,,,,,,,,,,图像识别,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
【数据分析】分析趋势强弱指数,https://task.epwk.com/1071365/,359人,1人,1000-3000元,圆满完成,招标,kimmy_1,斜率和趋势、及其趋势的强弱指数计算，需求和数据在附件中,2024-02-06,2024.02.17,任务编号：1071365,2000.0,14天,浙江省-杭州市-余杭区,工作室｜天航软件开发,https://shop.epwk.com/78n96rvj8nkv/,工作室｜天航软件开发,出售服务,https://shop.epwk.com/78n96rvj8nkv/chushou/,个人,四品,39分,,,工作室｜天航软件开发,,,,,,,,,,,,,,,,,,,,数据分析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
【其他人工智能】3D数字人开发,https://task.epwk.com/1093427/,728人,1人,¥13000,圆满完成,雇佣,jueban123,1. 项目背景在数字化、智能化的大趋势下，3D数字人作为一种新兴的交互方式，能够在各种场景中提供沉浸式的用户体验。本项目的目标是开发一款具备高级交互能力的3D数字人，以增强用户互动体验，并应用于展厅、教育、医疗等多个领域。2. 项目目标- 实现与用户的自然语言实时对话。- 预设两个标准动作以增加互动趣味性。- 构建并维护一个强大的知识库以支持智能问答。- 利用安卓设备进行图片采集和处理。- 通过语音指令驱动3D数字人的动作和知识库查询。3. 功能需求详细说明3.1 实时对话功能3.1.1 语音识别- 支持多轮对话，无需重复唤醒。- 普通话语音识别准确率达到≥95%。3.1.2 语义理解- 能够理解用户的意图，并进行适当的回应。- 支持上下文理解，保持对话的连贯性。- 具备情感识别能力，根据用户情绪调整回应方式。3.2 预设动作1.跳舞动作- 设计舞蹈动作，能够跟随音乐节奏。- 动作平滑自然，符合人类舞蹈习惯。2.挥手动作- 设计挥手动作的挥手问候。- 动作执行迅速，无延迟感。3.3 知识库3.3.1 知识库构建- 包含至少1000条常见问题及专业答案。- 答案准确、全面，来源可靠。3.3.2 知识库维护- 提供后台管理系统，便于知识库的更新和扩展。- 支持批量导入导出功能。3.4 图像识别与语音驱动3.4.1 图像采集- 安卓设备集成摄像头，支持高清拍照。- 拍照界面友好，操作简便。3.4.2 语音驱动- 用户通过语音对话，语音回复时同步控制3D数字人的口型。- 支持语音指令查询知识库，并返回语音答案。4. 技术要求详细说明- 3D建模技术：使用Blender或Unity3D等软件进行高精度建模。- 语音识别技术：采用科大讯飞、百度等成熟的语音识别API。- 知识库问答技术：基于LLM大语言模型的知识库问答系统。- 系统兼容性：确保系统在Android 8.0及以上版本稳定运行。,2024-10-09,2024.11.26,任务编号：1093427,13000.0,30天,山东省-青岛市,海创博达,https://shop.epwk.com/2j5jjgowz5pz/,海创博达,出售服务,https://shop.epwk.com/2j5jjgowz5pz/chushou/,企业,四品,64分,总 7 次中标，交易总金额,￥2.96万,海创博达,,电商平台（单商户、多商户）,"￥5000
            /起",自助洗车小程序开发,"￥5000
            /起",UI界面设计App小程序H5设计平面设计,价格面议,智能外勤人员管理系统智慧外勤平台,"￥100000
            /起",智慧铁路货运系统平台,"￥100000
            /起",健康管理小程序,"￥10000
            /起",互联网医疗远程问诊App小程序智慧问诊,"￥10000
            /起",APP小程序H5网站开发,"￥10000
            /起",,,其他人工智能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
【国际商标】公司商标起名,https://task.epwk.com/1088288/,468人,13人,¥100,圆满完成,单人悬赏,秒回客KPUQM,本公司是生产经营有色金属熔炼用坩埚的 想给坩埚起个上档次的商标名称。,2024-08-02,2024.09.23,任务编号：1088288,100.0,,,于男,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,国际商标,￥ 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
【APP界面设计】小程序的首页UI设计,https://task.epwk.com/1096230/,412人,4人,¥688,圆满完成,,邱邱邱,一、我们是做数字人的公司，公司业务主要是把用户个人形象上传到我们公司网站然后，只需要复制爆款文案，我们公司系统可以通过系统驱动生成原视频声音通过大数据算法改正口型，代替真人出镜减少梳妆打扮背稿时间，降低时间成本，1分钟可以生成出爆款视频，二、我需要您来，参考竞争对手界面在附件里，做出来比竞品更惊艳的UI界面出来，只需要做首页，如果设计风格方案被采纳中标后，需要完善其他几页的UI设计 不会超过5页三、底层结构使用的是，好多个你，请看附件的名称，结构分4层最上面是广告栏，第二排是视频创作和我的作品库，次三层是使用教程，第四层是客户案例，最上面第一排和第二排可以自由发挥（按钮部分也可以改造大小），第三排和第四排是播放的视频应该没啥可以创意的。四、您可以在微信小程序里搜索，好多个你来参考竞品结构，但是好多个你的界面外观很一般，需要您参考附件中其他竞品来优化UI。五、附件里有一些竞争对手的参考图，期待与您合作，,2024-11-08,2024.11.15,任务编号：1096230,688.0,,,初晓创意互联,,,网站建设定制开发设计企业公司官网营销门户仿站外贸网站建设制作,,个人,一品,98分,总 58 次中标，交易总金额,￥17.62万,,"￥5000
            /套",,,,,,,,,,,,,,,,,,,APP界面设计,,,4.0,https://shop.epwk.com/3gd2mvzyyner/,https://shop.epwk.com/3gd2mvzyyner/chushou/,app小程序H5应用软件网站网页交互外包定制ui设计,"￥100
            /页",软件界面设计管理系统ui设计大数据ui客户端软件触摸屏,"￥500
            /页",网页设计网站设计软件设计ui设计app小程序h5前端切图,"￥1000
            /页",网站UI设计 手机端UI设计 软件界面设计 数据大屏设计,"￥300
            /页",移动应用app小程序软件网页界面大数据可视化UI定制设计,"￥10000
            /页",,,,,,,,,,,,,,,,,,,,,,2024
【网站UI设计】网站页面视觉设计,https://task.epwk.com/1084563/,763人,3人,"¥2,000",圆满完成,,致利昂lXrlL,一、公司介绍我们是一家从事矿产资源贸易的平台型公司，客户覆盖全球，以追求打造国际化、现代化世界一流企业为目标。二、设计需求服务于矿产资源行业大宗商品交易的线上交易平台，功能涵盖会员管理、信息展示、交易资源发布、撮合交易、成交签约、结算交收等，同时还将提供多项增值服务。（一）设计内容设计内容包括线上交易系统首页和二级页面设计。系统设计内容包括：整页背景图、banner图等不同效果，图片设计不少于3张；页面底部设计，包括字体、字号、配色等；登录框设计，包括样式、布局、字体、配色等。二级页面设计内容包括：商品/资源展示方式设计，例如，交易资源列表形式，或商品图片加文字描述等不同展示效果，设计效果不少于2种样式；多种类型菜单、按钮展示样式设计；以及页面顶部设计样式。（二）设计风格要求设计风格具有国际化大宗商品线上交易特点，简洁明快、直观便捷，融入矿产资源、AI及数智化创新应用等要素。 （三）尺寸规格页面以16:9设计，像素以1920×1080为主要设计依据。同时，考虑不同比例的满屏图片展示效果及不同尺寸的图片效果。（四）工作周期    自需求发布之日起7个自然日内交稿。三、激励措施    中标者可按平台规则获得相应奖金，并有机会深度参与后续工作。四、知识产权投标者需规范使用版权图片、字体、视频等元素，可使用商用版权素材（需注明来源），但不得抄袭、剽窃他人知识产权。中标方案待奖金支付完毕后，默认将全部知识产权转让于我方，我方有权对作品进行修改、组合和应用，未经我方书面同意，中标者不得直接或间接使用。,2024-06-27,2024.07.26,任务编号：1084563,2000.0,,,初晓创意互联,,,网站建设定制开发设计企业公司官网营销门户仿站外贸网站建设制作,,个人,一品,98分,总 58 次中标，交易总金额,￥17.62万,,"￥5000
            /套",,,,,,,,,,,,,,,,,,,网站UI设计,,,3.0,https://shop.epwk.com/3gd2mvzyyner/,https://shop.epwk.com/3gd2mvzyyner/chushou/,app小程序H5应用软件网站网页交互外包定制ui设计,"￥100
            /页",软件界面设计管理系统ui设计大数据ui客户端软件触摸屏,"￥500
            /页",网页设计网站设计软件设计ui设计app小程序h5前端切图,"￥1000
            /页",网站UI设计 手机端UI设计 软件界面设计 数据大屏设计,"￥300
            /页",移动应用app小程序软件网页界面大数据可视化UI定制设计,"￥10000
            /页",,,,,,,,,,,,,,,,,,,,,,2024
【网站UI设计】玩具品牌网站UI设计,https://task.epwk.com/1083830/,592人,6人,"¥1,400",圆满完成,,开设堂siFPo,"公司官网:www.aispea.com建立新网站目的:明确公司在市场中的定位、目标用户需求和业务功能，实现品牌宣传、业务拓展和用户服务需求文档(内含设计要求、设计模块等):https://boardmix.cn/app/share/CAE.CLCl0g0gASoQfB8HRZOHQfLmyC39j6AJUDAGQAE/q37hjs，点击链接加入boardmix中的文件「PRD-网页需求文档」参考网站:https://heycurio.com/https://folotoy.com/https://callai.online/需要额外展示的重点功能点(模块):产品展示，定制成本在线计算（毛绒玩具）请勿加v,有事直接电话联系,打电话会接的",2024-06-20,2024.07.05,任务编号：1083830,1400.0,,,虎虎666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,网站UI设计,,,6.0,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
